video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
fcnDmrtj6Sk,NO,2026-06-02T05:11:46.553551+00:00,2026-05-23T16:14:03Z,"Shakira, Burna Boy - Dai Dai (Official Video)","Shakira, Burna Boy - Dai Dai (Official Video)",Shakira,UCYLNGLIzMhRTi6ZOLjAPSmw,26,Howto & Style,,0,https://i.ytimg.com/vi/fcnDmrtj6Sk/hqdefault.jpg,en,en,False,241,PT4M1S,hd,False,True,False,False,61601281,2081790,107959
l0hD3KBwoiA,NO,2026-06-02T05:11:46.553594+00:00,2026-05-31T15:54:36Z,"No Peace Amongst the Stars | Warhammer 40,000 Official Cinematic Trailer","No Peace Amongst the Stars | Warhammer 40,000 Official Cinematic Trailer","Warhammer 40,000",UCm4UYMFMVFKtZBi9uk4HSCg,20,Gaming,"warhammer40000, warhammer40k, 40k, 40klore, warhammer",5,https://i.ytimg.com/vi/l0hD3KBwoiA/hqdefault.jpg,en,en-GB,False,224,PT3M44S,hd,True,False,False,False,2263041,155709,7541
r4auxPbAmP4,NO,2026-06-02T05:11:46.553607+00:00,2026-05-30T19:00:18Z,SIDEMEN AMONG US: HARRY POTTER CHAOS MODE,SIDEMEN AMONG US: HARRY POTTER CHAOS MODE,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,22,People & Blogs,"sidemen, moresidemen, miniminter, ksi, zerkaa, behzinga, tbjzl, vikkstar, wroetoshaw",9,https://i.ytimg.com/vi/r4auxPbAmP4/hqdefault.jpg,en,en-GB,False,3657,PT1H57S,hd,False,True,False,False,2767629,94212,3740
vrY1THC_NQE,NO,2026-06-02T05:11:46.553616+00:00,2026-06-01T15:00:06Z,IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed - World Cup (Champions) [Official Music Video],IShowSpeed,UCWsDFcIhY2DBi3GB5uykGXA,20,Gaming,"ishowspeed, world cup",2,https://i.ytimg.com/vi/vrY1THC_NQE/hqdefault.jpg,en,en,False,299,PT4M59S,hd,False,True,False,False,3041761,531205,46443
0JlMjgqduVw,NO,2026-06-02T05:11:46.553624+00:00,2026-05-29T13:54:01Z,House of the Dragon Season 3 | Official Final Trailer | HBO Max,House of the Dragon Season 3 | Official Final Trailer | HBO Max,HBO Max,UCx-KWLTKlB83hDI6UKECtJQ,24,Entertainment,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, max, hbo max originals, hbo max trailer, hbo max teaser, hbo max series, hbo max youtube, house of the dragon, HOTD, Rhaenrya Targaryen, Daemon Targaryen, Aegon Targaryen, Alicent Hightower, game of thrones, Aemond Targaryen, Helaena Targaryen, Alys Rivers, Corlys Velaryon, Emma D'Arcy, Matt Smith, Olivia Cooke, Ormund Hightower, James Norton, A Song of Ice and Fire, Criston Cole, Fabien Frankel",31,https://i.ytimg.com/vi/0JlMjgqduVw/hqdefault.jpg,en,en,False,160,PT2M40S,hd,True,True,False,False,17535566,79745,4081
-0YhGoEJXeg,NO,2026-06-02T05:11:46.553633+00:00,2026-05-28T18:47:46Z,Overlever 10 Sesonger med Bodø/Glimt på FIFA 16,Overlever 10 Sesonger med Bodø/Glimt på FIFA 16,Randulle,UCH6SBclvyNRyzD2bGp9FrJA,20,Gaming,"Randulle, Dulle",2,https://i.ytimg.com/vi/-0YhGoEJXeg/hqdefault.jpg,no,no,False,4353,PT1H12M33S,hd,False,True,False,False,45949,1197,82
82-jTNka3uc,NO,2026-06-02T05:11:46.553642+00:00,2026-06-01T15:00:06Z,Ariana Grande - hate that i made you love me (official music video),Ariana Grande - hate that i made you love me (official music video),ArianaGrandeVevo,UC0VOyT2OCBKdQhF3BAbZ-1g,10,Music,"Ariana Grande, Ariana Grande LP6, Pop, hate that made you love me, ariana grande hate that made you love me, petal ariana grande",6,https://i.ytimg.com/vi/82-jTNka3uc/hqdefault.jpg,en,en,False,301,PT5M1S,hd,False,True,False,False,3016841,457323,27908
jLbst85USN8,NO,2026-06-02T05:11:46.553651+00:00,2026-05-28T14:53:06Z,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty,UC9YydG57epLqxA9cTzZXSeQ,20,Gaming,"call of duty, cod, activision, call of duty: modern warfare 4, modern warfare 4, mw4",6,https://i.ytimg.com/vi/jLbst85USN8/hqdefault.jpg,en,en,False,170,PT2M50S,hd,False,True,False,False,30231139,204798,21195
_hyFGrcVv5U,NO,2026-06-02T05:11:46.553658+00:00,2026-05-30T13:35:17Z,I Went to WAR on a Hardcore Minecraft SMP,I Went to WAR on a Hardcore Minecraft SMP,Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,20,Gaming,"wemmbu, wembu, wenbu, wemmbu unstable smp, wemmbu the sequel, eggchan, wemmbu eggchan, wemmbu hunted, wemmbu invisible player, unstable smp, unstable universe, parrotx2, minecraft, unstable smp in order, minecraft smp, unstable smp in order wemmbu, unstable smp latest video, unstable smp new video, wemmbu assassin, wemmbu invis player, unstable blue invis player, eggchan missing, flamefrags, egchan, 100 days, cindercrest, wemmbu cindercrest, cinderella mac miller",28,https://i.ytimg.com/vi/_hyFGrcVv5U/hqdefault.jpg,en,en,False,3358,PT55M58S,hd,False,True,False,False,3699752,198636,33772
83C3TZ4Zm_o,NO,2026-06-02T05:11:46.553667+00:00,2026-05-29T04:00:16Z,aespa 에스파 'LEMONADE' MV,aespa 에스파 'LEMONADE' MV,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,10,Music,,0,https://i.ytimg.com/vi/83C3TZ4Zm_o/hqdefault.jpg,en,ko,False,192,PT3M12S,hd,True,True,False,False,15160875,569004,33301
