video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Yse0H0mXEuQ,NP,2026-04-04T03:22:20.770400+00:00,2026-03-26T13:42:19Z,"BALEN - JAY MAHAKAALI (Swapnil, Chronic Beatz, Foeseal)","BALEN - JAY MAHAKAALI (Swapnil, Chronic Beatz, Foeseal)",Balen,UCJgcDT2XI3cQJhGe01AFaHQ,1,Film & Animation,,0,https://i.ytimg.com/vi/Yse0H0mXEuQ/hqdefault.jpg,en,en,False,222,PT3M42S,hd,False,True,False,False,6315467,568747,48088
wYWiv8qbhj8,NP,2026-04-04T03:22:20.770440+00:00,2026-04-02T07:38:26Z,"RAM NAAM SATYA || Movie Official Trailer 2026 || Biraj Bhatta, Sunil Thapa, Sushil, Aayush, Supuspa","RAM NAAM SATYA || Movie Official Trailer 2026 || Biraj Bhatta, Sunil Thapa, Sushil, Aayush, Supuspa",OSR Digital,UCxCoea3ulOukfXiYAm87ZIA,1,Film & Animation,"OSR Digital, Ram Naam Satya Trailer, Ram Naam Satya Movie Trailer, Ram Naam Satya Official Trailer, Biraj Bhatta Ram Naam Satya, Biraj Bhatta Trailer, New Nepali Movie Trailer 2026, Nepali Movie Trailer, Nepali Movie Promo, Nepali Action Movie Trailer, RAM NAAM SATYA Trailer, Sunil Thapa Movie, Sushil Shrestha Movie, Prashant Tamrakar Movie, Supuspa Bhatta Movie, Divya Rayamajhi Movie, Aayush Singh Thakuri Movie, Khusi Karki Movie",18,https://i.ytimg.com/vi/wYWiv8qbhj8/hqdefault.jpg,en,en,False,195,PT3M15S,hd,False,True,False,False,607879,30551,2876
u28KlosdRTw,NP,2026-04-04T03:22:20.770453+00:00,2026-04-01T07:21:14Z,My Last Free Fire Gameplay 😑 Enough is Enough - Tonde Gamer,My Last Free Fire Gameplay 😑 Enough is Enough - Tonde Gamer,Tonde Gamer,UCD5EC8IWhOFalXtePCkhJTA,20,Gaming,"free fire, garena free fire, tonde gamer, tonde new video, tonde, gaitonde, tgr gaitonde, best gameplay, free fire hindi, ff hindi, free fire king, free fire gameplay, ajjubhai, total gaming, desi gamers, april fools, ff, ff gameplay, tonde gameplay, free fire max, free fire india, quit ff, tonde quit ff, prank, april fools videos",25,https://i.ytimg.com/vi/u28KlosdRTw/hqdefault.jpg,en-IN,hi,False,1048,PT17M28S,hd,False,True,False,False,1286607,108117,14596
tVs5gi5vw6w,NP,2026-04-04T03:22:20.770464+00:00,2026-03-27T15:15:06Z,Makhamali - The Hulaki | Official Music Video,Makhamali - The Hulaki | Official Music Video,Hulaki,UCLgMLWlEvtFUDac5J4YpmYQ,27,Education,"Upasna singh thakuri, Makhamali, The hulaki, Tuna rw muna",4,https://i.ytimg.com/vi/tVs5gi5vw6w/hqdefault.jpg,en,ne,False,326,PT5M26S,hd,False,True,False,False,1304775,50410,1452
QqdrrWqrA0M,NP,2026-04-04T03:22:20.770472+00:00,2026-04-02T04:53:14Z,Namit Malhotra’s Ramayana Rama Trailer • Reaction,Namit Malhotra’s Ramayana Rama Trailer • Reaction,thePJ,UCbPUDwXjjV7KOYGdz3tLpXw,20,Gaming,"Namit Malhotra’s Ramayana, Rama, Ramayana, Namit Malhotra, Ramayan, PJ Explained, thePJ, Ramayan Rama Trailer, Ramayan Trailer, Ramayana Trailer, Rama Trailer, Namit Malhotra’s Ramayana Rama, Namit Malhotra’s Ramayana Rama Glimpse, Namit Malhotra’s Ramayana Rama Trailer, Rama Glimpse, Ram Glimpse, Ram, Ravan, Namit Malhotra's Ravan, Ramayana Movie, Ramayan Movie, Ramayana Teaser, DNEG, Ranbeer Kapoor, Ranbeer Kapoor Ram, Ranbeer Kapoor Ramayan",26,https://i.ytimg.com/vi/QqdrrWqrA0M/hqdefault.jpg,en,en-IN,False,339,PT5M39S,hd,False,True,False,False,766844,43366,3902
kbZ-QB7_Ff4,NP,2026-04-04T03:22:20.770481+00:00,2026-04-02T12:21:02Z,Minecraft But Item Have Babies !,Minecraft But Item Have Babies !,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,20,Gaming,"carry depie, minecraft",2,https://i.ytimg.com/vi/kbZ-QB7_Ff4/hqdefault.jpg,en,hi,False,1367,PT22M47S,hd,False,True,False,False,1029304,14031,948
fcBKV-B8iA8,NP,2026-04-04T03:22:20.770489+00:00,2026-03-24T13:15:07Z,ST MAN - KALI KALI FT. YUNG 22 & BIG NORZZA ( OFFICAL MUSIC VIDEO ),ST MAN - KALI KALI FT. YUNG 22 & BIG NORZZA ( OFFICAL MUSIC VIDEO ),ST MAN ,UCbeSWnb5mEX3YNPC6ZD01NA,10,Music,"st man new song, st man india, st man kollywood album, st man nepali rap song, nepali hiphop song, nepali rap song 2024, nhr gang, Lil norzza, yung 22, lil jhola, vten, indian hiphop song, yo yo honey singh, badshah song, raftaar song, hindi rap song, bollywood, punjabi rap song, sidhu moose wala",19,https://i.ytimg.com/vi/fcBKV-B8iA8/hqdefault.jpg,en-US,en-US,False,326,PT5M26S,hd,False,True,False,False,1979935,86425,3263
eG17Cbc9U9g,NP,2026-04-04T03:22:20.770497+00:00,2026-03-28T02:30:33Z,TULSI VIVAH I तुलसी विवाह I SANJANA PANDEY I GOLU TIWARI I OFFICIAL TRAILER INEW BHOJPURI MOVIE 2026,TULSI VIVAH I तुलसी विवाह I SANJANA PANDEY I GOLU TIWARI I OFFICIAL TRAILER INEW BHOJPURI MOVIE 2026,B4U Bhojpuri,UCIobY5Y-ly9Bo458yjy36OQ,1,Film & Animation,"tulsi vivah trailer, tulsi vivah bhojpuri movie, tulsi vivah bhojpuri film, tulsi vivah movie, tulsi vivah trailer 2026, tulsi vivah sanjana pandey, tulsi vivah golu tiwari, tulsi vivah, bhojpuri movie 2026, bhojpuri movie trailer, bhojpuri movie trailers 2026, bhojpuri movie trailer new, sanjana pandey, golu tiwari, bhojpuri film, bhojpuri film 2026, bhojpuri movies, तुलसी विवाह, तुलसी विवाह भोजपुरी फिल्म, trailer, trailer bhojpuri",21,https://i.ytimg.com/vi/eG17Cbc9U9g/hqdefault.jpg,en,bh,False,298,PT4M58S,hd,False,True,False,False,1829829,7759,91
xD_19TsNSgU,NP,2026-04-04T03:22:20.770506+00:00,2026-04-01T13:18:08Z,Stealing Gas Fuel to Survive in Minecraft..,Stealing Gas Fuel to Survive in Minecraft..,Karry Kraft,UCW3Ms3ZxVaZUniP-HifWCDg,20,Gaming,"carry depie, minecraft",2,https://i.ytimg.com/vi/xD_19TsNSgU/hqdefault.jpg,en,en-IN,False,634,PT10M34S,hd,False,True,False,False,1132897,15567,921
1pnKd6YHmV4,NP,2026-04-04T03:22:20.770514+00:00,2026-04-02T09:30:10Z,"Rama | Namit Malhotra’s Ramayana | Nitesh Tiwari | Ranbir, Yash, Hans Zimmer & A.R. Rahman","Rama | Namit Malhotra’s Ramayana | Nitesh Tiwari | Ranbir, Yash, Hans Zimmer & A.R. Rahman",Sony Music India,UC56gTxNs4f9xZ7Pa2i5xNzg,10,Music,"sony music india, ramayana, ramayan, rama, ram, ranbir kapoor, ranbir kapoor ramayana, ramayana movie, namit malhotras ramayana, ramayana trailer, ramayana song, ramayana teaser, namit malhotra ramayana, ramayana the epic, Hans Zimmer, A.R. Rahman, ramayana songs, ramayana rama, ram songs, Kumar Vishwas, ramayan song, ramayan songs, new hindi song, hindi songs, new hindi songs, hindi song, new song, new song hindi, hans zimmer ar rahman, ar rahman, Yash, sai pallavi",32,https://i.ytimg.com/vi/1pnKd6YHmV4/hqdefault.jpg,en,en,False,158,PT2M38S,hd,False,True,False,False,5955136,182520,15615
