video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
fW1bXM3ADaU,PA,2026-09-20T05:13:18.038471+00:00,2026-09-18T00:00:31Z,Boza - Desapego (Official Audio),Boza - Desapego (Official Audio),BozaVEVO,UC7_MH4jl4t0suOw8nBE0D3w,10,Music,"Boza Panama, Musica panama, Nueva Boza, Desapego Boza, Perthro, Boza, Desapego, Loving",8,https://i.ytimg.com/vi/fW1bXM3ADaU/hqdefault.jpg,es,es,False,193,PT3M13S,hd,False,True,False,False,50851,2575,148
xvtCQp53ll8,PA,2026-09-20T05:13:18.038515+00:00,2026-09-19T22:07:44Z,"Nuevo TRAILER Avengers Doomsday y los 3 minutos confirmados en Endgame Encore, X Men, Wolverine","Nuevo TRAILER Avengers Doomsday y los 3 minutos confirmados en Endgame Encore, X Men, Wolverine",Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/xvtCQp53ll8/hqdefault.jpg,es-419,es-419,False,1150,PT19M10S,hd,False,True,False,False,197747,7363,399
coWeX6jARCE,PA,2026-09-20T05:13:18.038544+00:00,2026-09-19T19:36:46Z,Pensé Que Era Una Montaña...,Pensé Que Era Una Montaña...,Towi,UC_eCAeLWcJhv2knFlhU9vZg,20,Gaming,,0,https://i.ytimg.com/vi/coWeX6jARCE/hqdefault.jpg,es,es,False,1093,PT18M13S,hd,False,True,False,False,513281,27228,1655
ivX_Bule86Q,PA,2026-09-20T05:13:18.038551+00:00,2026-09-18T00:00:06Z,"ROA, Anuel AA - Vamo a Vel (Official Video)","ROA, Anuel AA - Vamo a Vel (Official Video)",ROAVEVO,UCu65nk5q4vDZ8fkUwzJrqNQ,10,Music,"ROA, Anuel AA, Universal Music Latino, Latin Urban, Vamo Vel roa, roa Vamo Vel, letra Vamo Vel roa, Vamo Vel, ETA ROA, Nunk es tarde, freelance, jetski, la cura, noche pasajera, private suite, UuU, roapr, ryan castro, karol, blessd, dakiti, fiel, bad bunny, Dei, BryantMyers, Hades66, Clarent, Mora, Omar Courtz, goddess omar courtz, omar courtz primera musa, de la rose, de la rose omar courtz, young Miko, luar, sahir, Eladio Carrion, Puerto Rico, trap, Lil JouJou, jovaan",41,https://i.ytimg.com/vi/ivX_Bule86Q/hqdefault.jpg,es,es,False,244,PT4M4S,hd,True,True,False,False,3020018,158574,8428
kw0YhiqOPFg,PA,2026-09-20T05:13:18.038559+00:00,2026-09-08T13:55:06Z,GODZILLA MINUS ZERO | Official 1.43:1 Trailer | Filmed For IMAX,GODZILLA MINUS ZERO | Official 1.43:1 Trailer | Filmed For IMAX,GODZILLA OFFICIAL by TOHO,UCBuRIFDuaSY9dDr0p_qTlHw,1,Film & Animation,,0,https://i.ytimg.com/vi/kw0YhiqOPFg/hqdefault.jpg,en,en-US,False,85,PT1M25S,hd,False,False,False,False,11672164,184368,14204
Y4Mf7JvJj44,PA,2026-09-20T05:13:18.038566+00:00,2026-09-19T17:00:06Z,Germán Y Fernanfloo en PELIGRO!! ☠️,Germán Y Fernanfloo en PELIGRO!! ☠️,JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,20,Gaming,"juegagerman, juega, german, holasoygerman, hola soy german, juega german, fernanfloo, fernan, german y fernanfloo, german y fernan, fernanflo, germanfloo, fears to fathom, juego de terror, juego miedo",15,https://i.ytimg.com/vi/Y4Mf7JvJj44/hqdefault.jpg,es-419,es-419,False,7063,PT1H57M43S,hd,False,True,False,False,1206520,80129,3793
_RZQcpPViMA,PA,2026-09-20T05:13:18.038573+00:00,2026-09-18T00:00:06Z,ARIA VEGA - COMPA COLETO (uy_como) (Lyric Video),ARIA VEGA - COMPA COLETO (uy_como) (Lyric Video),ARIA VEGA,UCJhm_zJsO2AD-rpMUdmQXVg,10,Music,"Aria vega, rosé, salió sola, pop, reggaeton, pop latino, aria, Aria Vega TOTOTO 4, TOTOTO Letra, TOTOTO Lyrics, Aria Vega Exitos, Pop Urbano Latino, TOTOTO Audio Oficial, Aria Vega, TOTOTO, TOTO, TOTOTO x 4, El Azote, Asi de rico, Cule Poco, Chevere, cule poco letra aria vega, costeñita core, costeñita, tototo aria vega, llego tu sirena, Aria Vega Compa coleto, si te sabes el tiktok baila 2026, chevere, chevere remix, ryan castro, alleh",32,https://i.ytimg.com/vi/_RZQcpPViMA/hqdefault.jpg,es,es-419,False,198,PT3M18S,hd,False,False,False,False,747026,17231,518
lAr_uspgHm8,PA,2026-09-20T05:13:18.038580+00:00,2026-08-15T04:48:59Z,Avengers: Doomsday | Tráiler Oficial | Doblado,Avengers: Doomsday | Tráiler Oficial | Doblado,Marvel Latinoamérica Oficial,UC8LEXZO4hjzVk6wO3G9pJyQ,1,Film & Animation,,0,https://i.ytimg.com/vi/lAr_uspgHm8/hqdefault.jpg,es-419,es-419,False,131,PT2M11S,hd,False,False,False,False,6665343,116430,7836
4Bkl8yZzfuI,PA,2026-09-20T05:13:18.038586+00:00,2026-09-19T20:30:11Z,Gasté 100.000 ROBUX en 24 HORAS ,Gasté 100.000 ROBUX en 24 HORAS ,Spreen,UCgTOIiEgjm58xLjHvDjmgdA,20,Gaming,"Juego Spreen Español ARGENTINA, GRATIS, PRO, NOOB, SPREENDMC, SPREEN, PVP, ARGENTINA, ARGENTINO, CRAFT, EPICO, GRACISOSO, DIVERTIDO",13,https://i.ytimg.com/vi/4Bkl8yZzfuI/hqdefault.jpg,es,es-419,False,2629,PT43M49S,hd,False,True,False,False,486871,16047,1503
X8gidbVqflw,PA,2026-09-20T05:13:18.038592+00:00,2026-09-16T23:00:06Z,Peli De Terror - Koddy G (VIDEO OFICIAL),Peli De Terror - Koddy G (VIDEO OFICIAL),KØDDY-G,UCyYaU2Jq1CfI4TMMoZ7VyjA,10,Music,,0,https://i.ytimg.com/vi/X8gidbVqflw/hqdefault.jpg,es-419,es-419,False,212,PT3M32S,hd,False,True,False,False,1023305,43895,1751
