video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
78wrful9cVU,PG,2026-04-18T03:37:46.885991+00:00,2026-04-17T04:00:06Z,Olivia Rodrigo - drop dead (Official Music Video),Olivia Rodrigo - drop dead (Official Music Video),OliviaRodrigoVEVO,UCxE5jEls-T0QtlTHT8lI1lw,10,Music,"Olivia Rodrigo, Olivia Rodrigo PS, Pop, drop dead, you seem pretty sad for girl so in love, new olivia, 2026, kiss me and might drop dead, オリビア・ロドリゴ, 올리비아 로드리고, 奧莉維亞, 奥莉维娅罗德里戈",12,https://i.ytimg.com/vi/78wrful9cVU/hqdefault.jpg,en,en,False,251,PT4M11S,hd,True,True,False,False,5909487,578057,32337
Xt4X4FvXk2A,PG,2026-04-18T03:37:46.886034+00:00,2026-04-16T13:00:08Z,Street Fighter | Official Trailer (2026 Movie),Street Fighter | Official Trailer (2026 Movie),Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,1,Film & Animation,,0,https://i.ytimg.com/vi/Xt4X4FvXk2A/hqdefault.jpg,en,en-US,False,173,PT2M53S,hd,True,True,False,False,11664697,224017,18145
-ksvwKCDrm0,PG,2026-04-18T03:37:46.886046+00:00,2026-04-17T23:49:36Z,America Reports,America Reports,FOX News,UCqWYIzQLZFW4NFXPfWBLW1w,24,Entertainment,,0,https://i.ytimg.com/vi/-ksvwKCDrm0/hqdefault.jpg,en,en,False,3665,PT1H1M5S,sd,True,True,False,False,0,0,0
ADc9JPeLYi4,PG,2026-04-18T03:37:46.886055+00:00,2026-04-16T12:34:06Z,TEDDY AFRO  - ዳስ ጣል (አንሳው)  - Das Tal (Ansaw) | Track 1 (Official Lyrics Video),TEDDY AFRO  - ዳስ ጣል (አንሳው)  - Das Tal (Ansaw) | Track 1 (Official Lyrics Video),Teddy Afro,UCydlocDyvRtFmMffKytKqgQ,10,Music,,0,https://i.ytimg.com/vi/ADc9JPeLYi4/hqdefault.jpg,am,und,False,439,PT7M19S,hd,False,True,False,False,6829432,243476,43056
uwild1rw7Aw,PG,2026-04-18T03:37:46.886064+00:00,2026-04-16T22:11:44Z,Star Wars: The Mandalorian and Grogu | Final Trailer | In Theaters May 22,Star Wars: The Mandalorian and Grogu | Final Trailer | In Theaters May 22,Star Wars,UCZGYJFUizSax-yElQaFDp5Q,24,Entertainment,,0,https://i.ytimg.com/vi/uwild1rw7Aw/hqdefault.jpg,en,en-US,False,133,PT2M13S,hd,True,True,False,False,2721410,61865,4082
69bkqNpMksc,PG,2026-04-18T03:37:46.886072+00:00,2026-04-17T19:28:00Z,Prop Hunt But That Clearly Ain't Me...,Prop Hunt But That Clearly Ain't Me...,SMii7Y,UCzXwjTI6c6mVn6oui_p6oiw,20,Gaming,"smii7y, smii7yplus, smii7y+, smii7y plus, prop hunter, prop hunter gameplay, prop hunters, prop hunt, prop hunt funny moments, prop hunt game, hide and seek, prop hunt gameplay, smii7y prop hun",13,https://i.ytimg.com/vi/69bkqNpMksc/hqdefault.jpg,en,en,False,1847,PT30M47S,hd,False,True,False,False,525834,40409,1237
PjjOXKDXLm0,PG,2026-04-18T03:37:46.886081+00:00,2026-04-17T17:00:06Z,Hurricane Wisdom - Enough (Official Music Video),Hurricane Wisdom - Enough (Official Music Video),Hurricane Wisdom,UC-tAx6tWF3x-7COrjnpV4Zg,10,Music,"hurricane wisdom, hurricane wisdom music, hurricane wisdom music videos, lil hurricane, hurricane wisdom better, hurricane wisdom state of emergency, state of emergency, category 5 mixtape, hurricane season, rod wave, rod wave music, sad songs, broken hearts, lil durk, florida rappers, hotboii, kodak black, hip hop, hip hop music videos, rap music, rap, rylo rodriguez, nocap, toosii, hunxho, real me, honey mustard",27,https://i.ytimg.com/vi/PjjOXKDXLm0/hqdefault.jpg,en,en,False,103,PT1M43S,hd,False,False,False,False,62364,5900,374
XAbD4DKLw98,PG,2026-04-18T03:37:46.886089+00:00,2026-04-17T06:33:29Z,AVENGERS DOOMSDAY TRAILER BREAKDOWN | Footage Description | CinemaCon 2026,AVENGERS DOOMSDAY TRAILER BREAKDOWN | Footage Description | CinemaCon 2026,New Rockstars,UC7yRILFFJ2QZCykymr8LPwA,24,Entertainment,"new rockstars, new rockstars youtube, youtube new rockstars, doomsday, avengers doomsday, avengers doomsday trailer, avengers doomsday trailer breakdown, avengers doomsday trailer reaction, doctor doom, cinemacon, doomsday cinemacon, avengers cinemacon, robert downey jr, chris evans, thor, mystique, gambit, shang-chi, fantastic four",19,https://i.ytimg.com/vi/XAbD4DKLw98/hqdefault.jpg,en,en,False,929,PT15M29S,hd,False,True,False,False,534128,20462,1182
JBbvpMga7Bk,PG,2026-04-18T03:37:46.886097+00:00,2026-04-18T00:12:14Z,Morning Joe,Morning Joe,MSNBC,UCPMoZoTUinLM-MngPHWijUw,24,Entertainment,,0,https://i.ytimg.com/vi/JBbvpMga7Bk/hqdefault.jpg,en,en,False,14465,PT4H1M5S,hd,True,True,False,False,0,0,0
9RyYblhkrqY,PG,2026-04-18T03:37:46.886105+00:00,2026-04-17T18:00:06Z,BEBESHITO ❌ REY TONY & HELABUSADOR - Sin Pena 😈 (Prod. Dj Honda) [Video by Yoa N Dany] #Repaton,BEBESHITO ❌ REY TONY & HELABUSADOR - Sin Pena 😈 (Prod. Dj Honda) [Video by Yoa N Dany] #Repaton,Planet Records Cuba / Miami,UCIT-fIKaLRdHHd0bcr4jduA,10,Music,"Sin Pena, Bebeshito, Rey Tony, Helabusador, Bebeshito Rey Tony Helabusador Sin Pena, Dj Honda, Roberto Ferrante, Dame Un AAA, Ya Ice Dilan, JipMusic Global, Dichavate, Tienes Remix, Te Amaré, Dany Ome & Kevincito El 13, Quizás, Machuka, Se Va, LBMA, Bionica, Ja Rulay, Difunta, Charly & Johayron, Habla Toro, 6ix9ine, Lenier, Carne, No Creo, Estadio, Rikisisisimo, Tacto Que Llegó El Reparto, Reparto, El Punto, Taiger, Repaton, Reggaeton, Cubaton, Planet Records, Planet Distribution, Cuba, 2026",40,https://i.ytimg.com/vi/9RyYblhkrqY/hqdefault.jpg,es-419,es-US,False,210,PT3M30S,hd,False,True,False,False,99647,8198,348
