video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
0Hn8-HRE8Gs,PH,2026-06-06T04:37:33.205599+00:00,2026-06-03T11:00:06Z,teka lang - TJ Monterde | OFFICIAL MUSIC VIDEO,teka lang - TJ Monterde | OFFICIAL MUSIC VIDEO,TJ Monterde,UCzJxqvJG_aVsSpMcWxy0d7A,10,Music,,0,https://i.ytimg.com/vi/0Hn8-HRE8Gs/hqdefault.jpg,fil,und,False,510,PT8M30S,hd,False,True,False,False,912379,63834,5119
HLMX2w3cwuE,PH,2026-06-06T04:37:33.205638+00:00,2026-06-02T22:15:01Z,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,Gaming,"PlayStation, PS5, video games, next gen, Sony, state of play, god of war, God of War Laufey, Official Gameplay Reveal",9,https://i.ytimg.com/vi/HLMX2w3cwuE/hqdefault.jpg,en,en-US,False,1425,PT23M45S,hd,True,True,False,False,5922013,371794,27141
YXFD27GuyOk,PH,2026-06-06T04:37:33.205650+00:00,2026-05-31T14:02:50Z,🔴 LIVE | MPL PH S17 | FILIPINO - GRAND FINALS,🔴 LIVE | MPL PH S17 | FILIPINO - GRAND FINALS,MPL Philippines,UC5ASeit2rM3taMSUChv9tNA,20,Gaming,"MLBB, MPL, MPLPH, Be Legendary, Esports, Mobile Legends, Gaming, MPL PHILIPPINES, ONIC, ONIC PH, ONIC PHILIPPINES, SONICS, APBREN, APBR, TLPH, TEAM LIQUID, TEAM LIQUID PHILIPPINES, OMG, SMART OMEGA, BARANGAY OMEGA, RORA, AURORA GAMING PHILIPPINES, AURORA GAMING PH, FLCN, TEAM FALCONS PH, TEAM FALCONS PHILIPPINES, FALCONS PH, TWIS, TWISTED MINDS PH, TWISTED MINDS, TNC, TNC PRO TEAM, PHOENIX ARMY, PALAG NA TO",34,https://i.ytimg.com/vi/YXFD27GuyOk/hqdefault.jpg,fil,en,False,19257,PT5H20M57S,hd,False,False,False,False,2546568,15386,155
SQOaYoUImnQ,PH,2026-06-06T04:37:33.205660+00:00,2026-06-04T01:27:16Z,New Tiktok Mashup 2026 Philippines Party Music Viral Dance Trends June 4th,New Tiktok Mashup 2026 Philippines Party Music Viral Dance Trends June 4th,Kuya Magik,UCEplDDv2Vs6PI25pY-A9ATg,10,Music,"tiktok, tiktok mashup, tiktok mashups, tiktok mashup philippines, kuya magik, tiktok remix, tiktok dance craze, tiktok mashup march, tiktok dances, viral tiktok dances, remix, tik tok mashup, best tiktok dances, latest tiktok mashup, kuyamagik, tiktok mashup february, tiktok mashup 2024, 2024, tiktok mashups 2024, tiktok mashup 2025, 2025, tiktok dances 2025, tiktok mashup remix 2025",23,https://i.ytimg.com/vi/SQOaYoUImnQ/hqdefault.jpg,en,en,False,273,PT4M33S,hd,False,False,False,False,391084,990,39
Rsztt5qDj_A,PH,2026-06-06T04:37:33.205669+00:00,2026-06-04T15:00:06Z,"FALL 2: DEADPOINT (2026) Official Trailer - Harriet Slater, Arsema Thomas","FALL 2: DEADPOINT (2026) Official Trailer - Harriet Slater, Arsema Thomas",Lionsgate Movies,UCJ6nMHaJPZvsJ-HmUmj1SeA,1,Film & Animation,"Fall 2 Deadpoint, Fall 2, Deadpoint, Harriet Slater, Arsema Thomas, Tom Brittney, Virginia Gardner, Grace Caroline Currey, The Spierig Brothers, survival thriller, mountain climbing movie, rock climbing movie, height thriller, survival movie, cliffhanger movie, rockslide scene, adventure thriller, suspense movie, 2026 movie, fall 2 trailer, mount kwan, high altitude survival, dangerous climb, extreme heights, survival drama, action thriller, new thriller movie",27,https://i.ytimg.com/vi/Rsztt5qDj_A/hqdefault.jpg,en,en,False,80,PT1M20S,hd,False,True,False,False,1349373,21462,1506
82-jTNka3uc,PH,2026-06-06T04:37:33.205677+00:00,2026-06-01T15:00:06Z,Ariana Grande - hate that i made you love me (official music video),Ariana Grande - hate that i made you love me (official music video),ArianaGrandeVevo,UC0VOyT2OCBKdQhF3BAbZ-1g,10,Music,"Ariana Grande, Ariana Grande LP6, Pop",3,https://i.ytimg.com/vi/82-jTNka3uc/hqdefault.jpg,en,en,False,301,PT5M1S,hd,True,True,False,False,11511085,805647,38267
NT2Is90lFoI,PH,2026-06-06T04:37:33.205686+00:00,2026-06-03T13:00:35Z,Unstable SMP: Civil War FINALE,Unstable SMP: Civil War FINALE,Parrot,UCPLMPHT-d8GZOqL_AHJFdQQ,20,Gaming,"Minecraft, Minecraft SMP, SMP, Minecraft Server, LifeSteal SMP, School Minecraft Server, School SMP, School Parrot, Parrot, ParrotX2, Dream SMP, TommyInnit, LifeSteal, parrot lifesteal smp, Spoke, minecraft survival, minecraft hardcore, minecraft challenge, minecraft server, HermitCraft, MumboJumbo, Grian, why i broke 100+ bedrock, Here's Why I Made 12240 Minecraft Cakes, Minecraft Hunt, LifeSteal Season 3, 1 Heart Minecraft, LifeSteal Season 4, Why I Removed the World",29,https://i.ytimg.com/vi/NT2Is90lFoI/hqdefault.jpg,en,en,False,4675,PT1H17M55S,hd,False,True,False,False,3544521,174354,33839
QERKD90hG98,PH,2026-06-06T04:37:33.205694+00:00,2026-06-01T09:00:03Z,TREASURE - ‘IF I’ M/V,TREASURE - ‘IF I’ M/V,TREASURE (트레저),UCx9hXYOCvUYwrprEqe4ZQHA,24,Entertainment,"YG Entertainment, YG, 와이지, K-pop, 트레져, 트레저, TREASURE, CHOI HYUN SUK, JIHOON, YOSHI, JUNKYU, YOON JAE HYUK, ASAHI, DOYOUNG, HARUTO, PARK JEONG WOO, SO JUNG HWAN, 최현석, 지훈, 요시, 준규, 윤재혁, 아사히, 도영, 하루토, 박정우, 소정환, TREASURE MOVE, T5 MOVE, MOVE, 트레저 무브, T5, T5 무브, REBOOT, 트레저 REBOOT, 트레저 리부트, 트레저 정규2집, TREASURE REBOOT, TREASURE 리부트, BONA BONA, I WANT YOUR LOVE, RUN, MOVE (T5), G.O.A.T, 멍청이, STUPID, 어른, THE WAY TO, WONDERLAND, B.O.M.B, LOVESICK, 트레저맵, TREASURE MAP, 트맵",54,https://i.ytimg.com/vi/QERKD90hG98/hqdefault.jpg,en,ko,False,188,PT3M8S,hd,True,True,False,False,22387587,342513,98518
Ulz6aWhs7L0,PH,2026-06-06T04:37:33.205703+00:00,2026-06-04T03:43:00Z,Surviving 50 NIGHTS At GRANDMA'S In Roblox..,Surviving 50 NIGHTS At GRANDMA'S In Roblox..,Foltyn,UCRkuUgtDAL4XSU5jB40J_wA,20,Gaming,"foltyn, foltyn roblox, roblox, roblox foltyn, foltyn family, funny, no swearing, foltyn family roblox, roblox foltyn family, blade ball, roblox blade ball, foltyn blade ball, foltyn and caylus, foltyn and caylus playing together, foltyn and caylus playing roblox together, surviving 50 nights at grandma's, surviving 50 nights at grandma's in roblox, foltyn and caylus steal a brainrot, foltyn and caylus steal a brainrot aura",19,https://i.ytimg.com/vi/Ulz6aWhs7L0/hqdefault.jpg,en,en-US,False,1653,PT27M33S,hd,False,True,False,False,1368307,24322,3351
SzJXikN_4wA,PH,2026-06-06T04:37:33.205711+00:00,2026-06-05T04:00:37Z,"I Knew It, I Knew You","I Knew It, I Knew You",Taylor Swift - Topic,UCPC0L1d253x-KuMNwa05TpA,10,Music,"Taylor Swift, テイラースウィフト, テイラー・スウィフト, I Knew It, I Knew You",4,https://i.ytimg.com/vi/SzJXikN_4wA/hqdefault.jpg,en,en,False,179,PT2M59S,hd,False,True,False,False,1926849,126152,7288
mDdEHcd-Aec,PH,2026-06-06T04:37:33.205719+00:00,2026-06-04T07:30:10Z,"Minecraft, But The Whole World is Underwater!","Minecraft, But The Whole World is Underwater!",Motong TV,UCTMru0TwELkOJH653IEapVQ,20,Gaming,"minecraft, minecraft mod, mcpe mod, mcpe mods, minecraft addon, minecraft pe, mcpe addon, minecraft 1.19, minecraft mob battle mod, mob battle minecraft, minecraft tagalog, minecraft filipino, mob battle mob minecraft, youtube home, ArAr_Plays, JeyjeyMinecraft, pepesantv, pepesanplays, pepesananimation, namnamtv, oliptv, habitat, etutztv, zebiii, jeeektv, sheyyynplayz, moirayt, aphmau, cashandnico, maizen, micoleee, shannel, viiictv, clydecharge, esoni, jungkurt, azen, deeektv, purukutot, mikay, kimmie, astria",42,https://i.ytimg.com/vi/mDdEHcd-Aec/hqdefault.jpg,fil,und,False,1291,PT21M31S,hd,False,True,False,False,202168,1768,50
k7TOJfT3uAU,PH,2026-06-06T04:37:33.205727+00:00,2026-06-04T21:59:19Z,Balik Tanaw sa Nakaraan📻🔙 Mga Kantang Hindi Nalalaos💔Classic Love Song 80's 90's,Balik Tanaw sa Nakaraan📻🔙 Mga Kantang Hindi Nalalaos💔Classic Love Song 80's 90's,Tagalog Sweet Box,UCN67Z_i_EvTtP9oPWecsRIg,10,Music,,0,https://i.ytimg.com/vi/k7TOJfT3uAU/hqdefault.jpg,fil,und,False,3129,PT52M9S,hd,False,True,False,False,64224,431,4
r4W28Nc1EM8,PH,2026-06-06T04:37:33.205734+00:00,2026-06-03T05:04:36Z,OIIA Cat & Banana Cat HELPED ME To Save My Friend in Minecraft ( Tagalog ),OIIA Cat & Banana Cat HELPED ME To Save My Friend in Minecraft ( Tagalog ),Kuya Tank - Minecraft,UCLedw20VdY_b4JwIp5ZLiOw,20,Gaming,"minecraft, minecraft but, minecraft tagalog, pepesan, pepesan tv, pepesan minecraft, tankdemic, kuya tank minecraft, tankdemic minecraft, mizumi, mizumi minecraft, omocraft, aphmau, maizen, minecraft roleplay, minecraft pe, esoni tv, funny minecraft, kid friendly, family friendly, lodicraft, esoni, mods, I Secretly Cheated Using CAMERAS in ITALIAN BRAINROT HOUSE BUILD BATTLE In Minecraft!, motong tv, jeeek tv, esoni minecraft, habitat gaming, mizutank, Gugugaga is MISSING in Minecraft",30,https://i.ytimg.com/vi/r4W28Nc1EM8/hqdefault.jpg,fil,und,False,1016,PT16M56S,hd,False,True,False,False,178895,6615,193
z29paW2gpkA,PH,2026-06-06T04:37:33.205742+00:00,2026-05-31T22:00:09Z,(Top 1 Viral) OPM Acoustic Love Songs 2026 Playlist 💗 Best Of Wish 107.5 Song Playlist 2026,(Top 1 Viral) OPM Acoustic Love Songs 2026 Playlist 💗 Best Of Wish 107.5 Song Playlist 2026,OPM Wish 2025,UC5k0BNf8_UljOYqy8Kh8hlA,10,Music,,0,https://i.ytimg.com/vi/z29paW2gpkA/hqdefault.jpg,en,en-US,False,7984,PT2H13M4S,hd,False,True,False,False,231616,734,38
rlH5PljRyvw,PH,2026-06-06T04:37:33.205750+00:00,2026-06-05T09:00:31Z,TUMALSIK AKO SA TRAMPOLINE NG KATATAWANAN | Roblox | My Trampoline Park,TUMALSIK AKO SA TRAMPOLINE NG KATATAWANAN | Roblox | My Trampoline Park,PlayofEL,UCvJwM52bzNiciUl1kquh0kQ,20,Gaming,"PlayofEL, TaleofEL, tale of el, play of el, roblox, roblox tagalog, ROBLOX PINOY, BROOKHAVEN rp, MAHIRAP TO MAYAMAN VERY QUICK!, ANG BABAE SA PLAYGROUND!, brookhaven poor to rich, queenruzz, playofel muscle, gym star roblox, deadrails, dead rails roblox, brainrot gods",17,https://i.ytimg.com/vi/rlH5PljRyvw/hqdefault.jpg,fil,und,False,608,PT10M8S,hd,False,True,False,False,108623,3789,138
KVu5LoI70Fk,PH,2026-06-06T04:37:33.205759+00:00,2026-06-03T15:00:01Z,Taylor Swift - Enchanted (Taylor's Version) (Lyrics),Taylor Swift - Enchanted (Taylor's Version) (Lyrics),MusiCat,UCrZmIGWwmhX-XhWYqAio6aQ,10,Music,"lyrics, musicat, music, song enchanted with lyrics, enchanted, taylor swift, enchanted lyrics, lyrics enchanted, lyrics taylor swift enchanted, enchanted lyrics taylor swift, enchanted taylor swift lyrics, song, songs, tiktok songs, lyric, lyric video, enchanted lyric video, enchanted lyrics video, taylor swift enchanted lyrics, taylor swift enchanted, enchanted taylor swift, taylor's version, enchanted taylor's version, pop, pop songs, swifties, taylor nation, tiktok",28,https://i.ytimg.com/vi/KVu5LoI70Fk/hqdefault.jpg,en,en,False,351,PT5M51S,hd,False,True,False,False,261246,405,6
vDvqPvptN1M,PH,2026-06-06T04:37:33.205766+00:00,2026-06-04T09:00:39Z,Trinoll Ko ang CRUSH Ko Gamit ang ADMIN TOOLS in 99 Nights in The Forest!,Trinoll Ko ang CRUSH Ko Gamit ang ADMIN TOOLS in 99 Nights in The Forest!,Edo,UCtRRA_RD1YK3dyZTCNyY8VQ,20,Gaming,"edo, robloxtagalog",2,https://i.ytimg.com/vi/vDvqPvptN1M/hqdefault.jpg,en,und,False,823,PT13M43S,hd,False,True,False,False,123317,1509,281
