video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
eTl-FnVvGu0,PK,2026-07-23T03:55:31.314229+00:00,2026-07-20T06:30:04Z,"Vaaste 8K Video Song: Dhvani B, Siddharth G | Tanishk B,Nikhil D'Souza| Bhushan K| Radhika R,Vinay S","Vaaste 8K Video Song: Dhvani B, Siddharth G | Tanishk B,Nikhil D'Souza| Bhushan K| Radhika R,Vinay S",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,10,Music,"hindi songs 2025, hindi songs new, bollywood songs 2025, bollywood movies 2025, tseries, tseries songs, hindi songs, romantic hindi songs, hindi songs bollywood, hindi song status, bollywood dance songs, hindi song, song, vaaste song, sidharth gupta song, dhwani bhanushali songs, vaste song, vaste song full, dhwani bhanushali vaaste, nikhil d souza vaaste, vaaste jaan bhi du, vaste ja bhi du, vaaste jaan bhi du song, vaste jaa bhi du",24,https://i.ytimg.com/vi/eTl-FnVvGu0/hqdefault.jpg,en,hi,False,261,PT4M21S,hd,False,True,False,False,1301859,9505,240
irVNGjRFZGk,PK,2026-07-23T03:55:31.314274+00:00,2026-07-20T13:00:20Z,Avengers: Doomsday | Official Trailer | In Theaters December 18,Avengers: Doomsday | Official Trailer | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/irVNGjRFZGk/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,44363592,2317357,180401
ZRxt4EKSAFo,PK,2026-07-23T03:55:31.314286+00:00,2026-07-20T04:30:21Z,ESCAPING THE SECRET MYSTERY DOORS,ESCAPING THE SECRET MYSTERY DOORS,Techno Gamerz,UCX8pnu3DYUnx8qy8V_c6oHg,20,Gaming,,0,https://i.ytimg.com/vi/ZRxt4EKSAFo/hqdefault.jpg,en,en-IN,False,1392,PT23M12S,hd,False,True,False,False,2748808,117738,9720
I9tX-lFUTrw,PK,2026-07-23T03:55:31.314295+00:00,2026-07-21T05:41:25Z,"Yeh Awarapan | Emraan Hashmi, Disha Patani | Vishesh Bhatt | Amaal, Arijit, Rashmi Virag| Awarapan 2","Yeh Awarapan | Emraan Hashmi, Disha Patani | Vishesh Bhatt | Amaal, Arijit, Rashmi Virag| Awarapan 2",Sony Music India,UC56gTxNs4f9xZ7Pa2i5xNzg,10,Music,"sony music india, yeh awarapan, ye awarapan, awarapan 2, arijit singh, arijit singh comeback, arijit singh new song, awarapan 2 trailer, emraan hashmi songs, emraan hashmi, disha patani, awarapan 2 songs, emraan hashmi song, awarapan 2 teaser, awarapan 2 song, awarapan movie songs, romantic songs, new hindi song, amaal mallik, arijit singh songs, arijit singh love songs, arijit singh sad song, best of arijit singh songs, love songs, hindi love songs, Rashmi Virag",26,https://i.ytimg.com/vi/I9tX-lFUTrw/hqdefault.jpg,en,en,False,198,PT3M18S,hd,False,True,False,False,8808349,160412,12980
LOMOhaz0C4E,PK,2026-07-23T03:55:31.314303+00:00,2026-07-22T15:00:17Z,"Coming soon | Teaser 1 | Ft. Mikaal Zulfiqar, Hira Mani | Har Pal Geo","Coming soon | Teaser 1 | Ft. Mikaal Zulfiqar, Hira Mani | Har Pal Geo",HAR PAL GEO,UCe9JSDmyqNgA_l2BzGHq1Ug,24,Entertainment,"geo dramas, latest pakistani drama, top pakistani dramas, latest promo, har pal geo, latest teaser, pakistani dramas, best pakistani ost, पाकिस्तानी सीरियल, Mikaal Zulfiqar & Hira Mani Love Story, Full OST, Mikaal Zulfiqar Coming Drama, Hira Mani New Drama, Khafa First Look, Mikaal Zulfiqar, Hira Mani, Ayesha Rajpoot, Ahsan Afzal Khan, Yousuf Bashir Qureshi, Kinza Malik, Uzma Hassan, Seemi Pashah, Khafa Coming Soon, Saif Ali Khan, Khafa Teaser 1, Teaser 1, ED-MT-UP-MT",27,https://i.ytimg.com/vi/LOMOhaz0C4E/hqdefault.jpg,en,en,False,96,PT1M36S,hd,False,True,False,False,134382,2412,118
4PGhKmoU7cw,PK,2026-07-23T03:55:31.314311+00:00,2026-07-20T14:16:51Z,Draw or Fail in Roblox! 😱,Draw or Fail in Roblox! 😱,Tyro Gaming,UCIpN4Y3Pt00Q9KoQMWI77_Q,20,Gaming,"Draw or Die Challenge in Roblox 😱, junkeyy, Shivang mini, Shinchan game, Doraemon Game, Nobita Game, Shinchan in hindi, Shinchan Gaming, Frostbite Gaming, Rock Indian Gamer, Amaan-T, Flight Gamer, Carry Depie, Proboiz, Tyro Gaming, Proboii, Taro gaming, Funny Game Roblox, Doraemon New Episode, Shinchan New Episode, Draw or get eaten roblox, dont draw me bad roblox hindi, roblox hindi",23,https://i.ytimg.com/vi/4PGhKmoU7cw/hqdefault.jpg,en,hi,False,686,PT11M26S,hd,False,True,False,False,1159989,8309,492
CxN85kBZiI8,PK,2026-07-23T03:55:31.314320+00:00,2026-07-21T06:03:04Z,"Madhosh | Toxic (Hindi) | Rocking Star Yash, Tara Sutaria | Tanishk, Arslan, Faheem, Siddharth, Syed","Madhosh | Toxic (Hindi) | Rocking Star Yash, Tara Sutaria | Tanishk, Arslan, Faheem, Siddharth, Syed",Zee Music Company,UCFFbwnve3yF62-tVXkTyHqg,10,Music,"madhosh, madhosh video, yash, madhosh full song, toxic movie song, rocking star yash, toxic film song, toxic song, madahosh, madhahosh, yash new song, tara sutaria song, kiara advani new song, siddharth basrur new song, siddharth basrur song, new toxic song, new bollywood song, latest bollywood song, new hindi song, latest hindi song, new trending song, new romantic song, new love song, madhosh song, madhosh toxic, madhosh toxic song, yash toxic, madhosh video song, faheem",29,https://i.ytimg.com/vi/CxN85kBZiI8/hqdefault.jpg,en,hi,False,195,PT3M15S,hd,False,True,False,False,13429996,105047,4726
F5Pozgy8DnI,PK,2026-07-23T03:55:31.314327+00:00,2026-07-04T11:41:17Z,GHAIRAT (غیرت) | Official Trailer | Short Film | Rabia Faisal & Hira Faisal | Sistrology,GHAIRAT (غیرت) | Official Trailer | Short Film | Rabia Faisal & Hira Faisal | Sistrology,Rabia Faisal,UCTwyyBOLrFC1NzCwQO7LC8A,24,Entertainment,,0,https://i.ytimg.com/vi/F5Pozgy8DnI/hqdefault.jpg,en,ur,False,65,PT1M5S,hd,False,True,False,False,2639252,57360,4540
gaP58VaF3XE,PK,2026-07-23T03:55:31.314335+00:00,2026-07-20T10:18:21Z,From Poor to Rich Footballer in Minecraft..,From Poor to Rich Footballer in Minecraft..,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,20,Gaming,"carry depie, minecraft, doorbin",3,https://i.ytimg.com/vi/gaP58VaF3XE/hqdefault.jpg,en,hi,False,1222,PT20M22S,hd,False,True,False,False,1656438,22679,1498
Ox6BaYYNPvM,PK,2026-07-23T03:55:31.314342+00:00,2026-07-10T21:00:20Z,"Abdul Hannan, Samar Jafri - Khasara (Lyrics)","Abdul Hannan, Samar Jafri - Khasara (Lyrics)",desibeats,UCmQfCcBPd_tZU9DxYMsQb5g,10,Music,"indian music, best indian songs, indian music top 50, punjabi songs, hindhu songs, indian music playlist, indian music 2025 playlist, bollywood songs, bollywood playlist 2025, new indian music, new indian artists, indian pop music, indian pop music playlist, i-pop, desi pop, desi, mehendi, Abdul Hannan lyrics, Samar Jafri lyrics, Samar Jafri Khasara, Abdul Hannan Khasara, Abdul Hannan samar jafri khasara lyrics, Samar Jafri, Abdul Hannan samar jafri khasara, Abdul Hannan",25,https://i.ytimg.com/vi/Ox6BaYYNPvM/hqdefault.jpg,en,ur,False,161,PT2M41S,hd,False,True,False,False,149405,732,11
