video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
v7PE4Kgp6s0,PR,2026-04-26T04:03:00.191599+00:00,2026-04-24T13:04:32Z,ARLENE MC X ALOFOKE MUSIC X JEY ONE X LA MAS DOLL - SACA PUNTA,ARLENE MC X ALOFOKE MUSIC X JEY ONE X LA MAS DOLL - SACA PUNTA,AlofokeMusicSounds,UCeDlzhpU8NZAlL1rsXp54zQ,10,Music,"Bad Bunny, Dembow, Reggaeton, Karol G, Anuel AA, Trap, Rap, Salsa, Merengue, Feid, Santiago Matias, W Sound, Rochy RD, Yailin La Mas Viral, El Alfa, Bulin 47, Romeo Santos, Anthony Santos",18,https://i.ytimg.com/vi/v7PE4Kgp6s0/hqdefault.jpg,es,es,False,130,PT2M10S,hd,False,True,False,False,1373099,134186,9989
6IxPD-jNdwM,PR,2026-04-26T04:03:00.191638+00:00,2026-04-22T19:01:13Z,Clayface | Official Teaser,Clayface | Official Teaser,DC,UCiifkYAs_bq1pt_zbNAzYGg,1,Film & Animation,"2026, Clayface, Coming Soon, DC, DC Comics, David Dencik, Eddie Marsan, Gotham City, Horror, James Watkins, Joshua James, Max Minghella, Movie Trailer, Nancy Carroll, Naomi Ackie, Teaser Trailer, Thriller, Tom Rhys Harries, Warner Bros, Warner Bros Pictures",20,https://i.ytimg.com/vi/6IxPD-jNdwM/hqdefault.jpg,en,en-US,False,64,PT1M4S,hd,True,False,False,False,6775704,157564,8904
HyY2ffDv5OU,PR,2026-04-26T04:03:00.191650+00:00,2026-04-25T19:36:45Z,CONSTRUIMOS MINECRAFT EN LA VIDA REAL !!,CONSTRUIMOS MINECRAFT EN LA VIDA REAL !!,Alejo Igoa,UCZs0WwC0Dn_noiQE2BHSTKg,24,Entertainment,"alejo igoa, alejo, retos divertidos, bromas, youtuber argentino, alego, retos, challenge, igoistas, español, português, english, Türkçe, 한국어, اللغة العربية, française, ภาษาไทย, bahasa Indonesia, हिन्दी, русский, 24H, 24 hours, 24 horas",23,https://i.ytimg.com/vi/HyY2ffDv5OU/hqdefault.jpg,es,es,False,1277,PT21M17S,hd,False,True,False,False,1596677,81341,2669
VpiM6RDDSko,PR,2026-04-26T04:03:00.191661+00:00,2026-04-24T00:00:06Z,Hanzel La H ❌ Arcángel ❌ Hades66 ❌ Ñengo Flow ❌ Kendo Kaponi ❌ Luar la L - Loyalty 4 Ever Remix,Hanzel La H ❌ Arcángel ❌ Hades66 ❌ Ñengo Flow ❌ Kendo Kaponi ❌ Luar la L - Loyalty 4 Ever Remix,Hanzel La H,UC-r4xTOSzBHlBtdct0LPuUw,10,Music,,0,https://i.ytimg.com/vi/VpiM6RDDSko/hqdefault.jpg,en,es,False,362,PT6M2S,hd,False,True,False,False,2595108,153003,8586
iwp56gLGqh8,PR,2026-04-26T04:03:00.191669+00:00,2026-04-22T22:58:06Z,Street Fighter 6 - Ingrid Gameplay Trailer,Street Fighter 6 - Ingrid Gameplay Trailer,Street Fighter,UCVg9nCmmfIyP4QcGOnZZ9Qg,20,Gaming,"street, fighter, capcom, street fighter 6",4,https://i.ytimg.com/vi/iwp56gLGqh8/hqdefault.jpg,en,en,False,183,PT3M3S,hd,False,True,False,False,559146,34709,4933
Vo6QTBMdUfU,PR,2026-04-26T04:03:00.191677+00:00,2026-04-25T16:00:01Z,"1 Day vs 50,000 Day Build Challenge","1 Day vs 50,000 Day Build Challenge",MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/Vo6QTBMdUfU/hqdefault.jpg,en,en,False,1186,PT19M46S,hd,True,True,False,False,6224941,168286,7082
F0_t0Ms95Fk,PR,2026-04-26T04:03:00.191685+00:00,2026-04-23T22:33:25Z,Jerry Rivera - Que Hay De Malo (Letra),Jerry Rivera - Que Hay De Malo (Letra),Keller Lyrics,UCFUf4c4_fgXfoNnvbEpcaeg,10,Music,"Qué Hay De Malo, Que Hay De Malo, Jerry Rivera, Jerry Rivera Qué Hay De Malo, Qué Hay De Malo Letra, Qué Hay De Malo Lyrics, Letra Qué Hay De Malo, Salsa, Salsa Romantica, Salsa Clasica, Salsa Vieja Escuela, Musica Latina, Jerry Rivera Exitos, Clasicos de la Salsa, Canciones de Amor, Canciones de Desamor, Salsa para Dedicar, Hit Salsero, Salsa 90s, Latin Music, Musica para Bailar, Canciones del Recuerdo, Cancion Romantica, Salsa Hits, Jerry Rivera Canciones",25,https://i.ytimg.com/vi/F0_t0Ms95Fk/hqdefault.jpg,es,es,False,301,PT5M1S,hd,False,True,False,False,153115,316,1
Zd8xPgLCQkw,PR,2026-04-26T04:03:00.191693+00:00,2026-04-21T16:00:52Z,Blood Hunt | New PvE Mode Trailer | Marvel Rivals,Blood Hunt | New PvE Mode Trailer | Marvel Rivals,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,20,Gaming,"Marvel Rivals, PvE, Marvel, Marvel Games, FPS, Shooter",6,https://i.ytimg.com/vi/Zd8xPgLCQkw/hqdefault.jpg,en,en,False,131,PT2M11S,hd,False,False,False,False,1470720,29423,2623
WgaL213m16w,PR,2026-04-26T04:03:00.191701+00:00,2026-04-25T16:48:46Z,"NOOOO RUBIUS NO LO HAGAS (Tomodachi Life, Episodio 3)","NOOOO RUBIUS NO LO HAGAS (Tomodachi Life, Episodio 3)",Rubius Z,UCcjIvuxmWlS5IEQ0JdPV4Ng,20,Gaming,"elrubius, rubius, Tomodachi Life, tomodachi, rubius tomodachi, 2026, nuevo, simulación social, Nintendo, 3DS, Nintendo DS, Nintendo 3DS, tomodachi life living the dream, Tomodachi Life: Una vida de ensueño, vida, tomodachi life 3ds, capitulo 3, ep3, omelo, 2b, xokas, ñiku, isla, amor, enamorado, enamorada, homero, romance, vegetta, rubius y vegetta, chepita, rubegetta, Leon, c 18, c-18, leon kennedy",36,https://i.ytimg.com/vi/WgaL213m16w/hqdefault.jpg,es,es,False,1715,PT28M35S,hd,False,True,False,False,671772,67822,1946
Ca26shhTV3w,PR,2026-04-26T04:03:00.191709+00:00,2026-04-24T23:00:06Z,Sesiones Desde La Loma EP. 63 - Alex D' Castro,Sesiones Desde La Loma EP. 63 - Alex D' Castro,Norberto Vélez | Sesiones Desde La Loma,UCoYG2_6XGtxkNpyslskTcwQ,10,Music,"la loma servando y florentino, la loma salsa, la loma, la loma gilberto santa rosa, la loma del tamarindo, sesiones desde la loma, norbert, norberto velez",8,https://i.ytimg.com/vi/Ca26shhTV3w/hqdefault.jpg,es,es,False,4820,PT1H20M20S,hd,False,True,False,False,50121,3087,336
