video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
pkvgowbvYm8,PT,2026-07-24T03:54:41.296295+00:00,2026-07-22T17:00:06Z,Bárbara Bandeira - Manel,Bárbara Bandeira - Manel,Bárbara Bandeira Official,UCyPbx9sJh4nlZ_VhcuhIvwQ,10,Music,,0,https://i.ytimg.com/vi/pkvgowbvYm8/hqdefault.jpg,pt-PT,pt-PT,False,269,PT4M29S,hd,False,True,False,False,72267,4533,390
irVNGjRFZGk,PT,2026-07-24T03:54:41.296333+00:00,2026-07-20T13:00:20Z,Avengers: Doomsday | Official Trailer | In Theaters December 18,Avengers: Doomsday | Official Trailer | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/irVNGjRFZGk/hqdefault.jpg,en,en,False,146,PT2M26S,hd,True,True,False,False,46799343,2358928,182618
-8PCDMV-Nns,PT,2026-07-24T03:54:41.296346+00:00,2026-07-20T15:00:30Z,FUI TENTAR SER AMIGO DO VERITY E DEU MUITO ERRADO...,FUI TENTAR SER AMIGO DO VERITY E DEU MUITO ERRADO...,Jazzghost,UCIXguhHCl8eDTkXpEuiGPUA,20,Gaming,"jazzghost, jazz, minecraft, verity, verity mod",5,https://i.ytimg.com/vi/-8PCDMV-Nns/hqdefault.jpg,pt-PT,pt-PT,False,2870,PT47M50S,hd,False,True,False,False,3585457,168011,9895
vAnFcCx8ZhU,PT,2026-07-24T03:54:41.296355+00:00,2026-07-11T11:00:06Z,Tony Fika - Dona Ana (Official Video),Tony Fika - Dona Ana (Official Video),Tony Fika,UCj5CsNSu45TYeWv8CIJBUTw,10,Music,"Tony Fika, Di Fika, Cabo Verde, Kizomba, Funana, Zouk, Afro Beat, Kiz, Criolo, Tony Fika Acredita",10,https://i.ytimg.com/vi/vAnFcCx8ZhU/hqdefault.jpg,pt-PT,pt-PT,False,265,PT4M25S,hd,False,False,False,False,513289,6968,704
MOclJJ7IpSY,PT,2026-07-24T03:54:41.296363+00:00,2026-07-23T15:57:07Z,EA SPORTS FC 27 | Official Reveal Trailer,EA SPORTS FC 27 | Official Reveal Trailer,EA SPORTS FC,UCoyaxd5LQSuP4ChkxK0pnZQ,20,Gaming,"fifa, fifa pack opening, fifaeas, EA SPORTS FC, FC 27, EA FC, EA FC release date, FC 27 release date, FC 27 trailer, FC 27 reveal, FC 27 gameplay, football ultimate team, FC 27 ultimate team, FC 27 cover, FC 27 features, FC 27 ratings, FC 27 PS5, FC 27 Xbox, FC 27 PC, FC 27 Nintendo Switch, FC 27 news, FC 27 official, FC 27 PlayStyles, FC 27 pre-order, football game, new football game, EA SPORTS football, FUT, The Grounds, FC 27 The Grounds, FC 27 open world",31,https://i.ytimg.com/vi/MOclJJ7IpSY/hqdefault.jpg,en,en,False,156,PT2M36S,hd,True,True,False,False,2254495,122329,9658
CnJ2ZXVy_Wk,PT,2026-07-24T03:54:41.296373+00:00,2026-07-20T13:00:24Z,VIREI JUIZ PARA CORRIGIR A COPA DO MUNDO!,VIREI JUIZ PARA CORRIGIR A COPA DO MUNDO!,Felipe Neto Joga,UCIzdh7oty8jCnXUj3eUj2WQ,24,Entertainment,,0,https://i.ytimg.com/vi/CnJ2ZXVy_Wk/hqdefault.jpg,pt-PT,pt-PT,False,3344,PT55M44S,hd,False,True,False,False,613441,38560,1558
csa3SqIPxL0,PT,2026-07-24T03:54:41.296381+00:00,2026-07-18T16:00:06Z,Alex ak.s X Márcia Cruz - Berdiana (official video),Alex ak.s X Márcia Cruz - Berdiana (official video),Alex Ak.S ,UCBWvl9RsfwpI3E5p9nEArtg,10,Music,,0,https://i.ytimg.com/vi/csa3SqIPxL0/hqdefault.jpg,pt-PT,en,False,205,PT3M25S,hd,False,True,False,False,86757,1917,110
fUX_uDX0tJM,PT,2026-07-24T03:54:41.296389+00:00,2026-07-21T15:45:17Z,VINGADORES DOOMSDAY: ANÁLISE COMPLETA DO TRAILER!,VINGADORES DOOMSDAY: ANÁLISE COMPLETA DO TRAILER!,Ei Nerd,UCt_4wzTQqmcUvemNkeO0plA,24,Entertainment,"Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",18,https://i.ytimg.com/vi/fUX_uDX0tJM/hqdefault.jpg,pt-BR,pt,False,1246,PT20M46S,hd,False,True,False,False,1140309,103265,2497
ylGKgCWazw0,PT,2026-07-24T03:54:41.296421+00:00,2026-07-23T08:06:50Z,Can Kenji & Kaze Save Nori? (Brawl Stars Animation),Can Kenji & Kaze Save Nori? (Brawl Stars Animation),Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, ramen rebellion, kenji, kaze, nori, nanonoodles, windstock, brock, jae-yong",15,https://i.ytimg.com/vi/ylGKgCWazw0/hqdefault.jpg,en,en,False,67,PT1M7S,hd,True,True,False,False,2476011,67217,3108
z7eGToy4MWk,PT,2026-07-24T03:54:41.296431+00:00,2026-07-22T16:00:00Z,"KATSEYE (캣츠아이) ""Animal"" Official MV Teaser 2","KATSEYE (캣츠아이) ""Animal"" Official MV Teaser 2",HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/z7eGToy4MWk/hqdefault.jpg,ko,ko,False,19,PT19S,hd,False,True,False,False,3335568,161091,15726
