video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
BjwZQBT0qKs,RO,2026-05-27T04:56:27.070389+00:00,2026-05-15T09:00:06Z,Florin Cercel ❌️ Antonia Cercel - Doar pentru tine Amore [Official Video] 2026,Florin Cercel ❌️ Antonia Cercel - Doar pentru tine Amore [Official Video] 2026,FLORIN CERCEL,UCee2SkhsAu_HDGbZ4NFQ_jA,10,Music,"Florin Cercel ❌️ Antonia Cercel - Doar pentru tine Amore, Florin Cercel, Antonia Cercel, manele, muzica",5,https://i.ytimg.com/vi/BjwZQBT0qKs/hqdefault.jpg,ro,ro,False,219,PT3M39S,hd,False,True,False,False,6838174,73319,1651
4DGSRB3yxNE,RO,2026-05-27T04:56:27.070427+00:00,2026-05-19T23:13:45Z,Fjord (2026) - OFFICIAL MOVIE TRAILER,Fjord (2026) - OFFICIAL MOVIE TRAILER,Hassan Fitt Movie Trailers,UCk8udMbHT-5mmn2X6LyDt8Q,24,Entertainment,"fjord, fjord trailer, fjord movie trailer, fjord movie release date, fjord official trailer, fjord teaser trailer, fjord movie 2026, fjord sebastian stan, fjord sebastian stan trailer, fjord 2026 trailer, fjord movie teaser trailer, fjord full movie, fjord movie renate reinsve, fjord renate reinsve trailer, fjord cannes, fjord movie sebastian stan, fjord movie, corinne bohrer",18,https://i.ytimg.com/vi/4DGSRB3yxNE/hqdefault.jpg,en,,False,18,PT18S,hd,False,False,False,False,59258,37,0
Qdr7737dHjs,RO,2026-05-27T04:56:27.070439+00:00,2026-05-25T14:45:36Z,Jocul INTERZIS de pe Roblox..,Jocul INTERZIS de pe Roblox..,Jocuri Horror,UC7Tmdxj18fdu4tTtxVUhoCA,20,Gaming,"jocuri horror, jocuri, horror, gaming, minecraft, roblox, romania, ro, creepy, iraphahell, scary, maxinfinite, marius iancu, fnaf, jocuri horor, horor, iugin, highman, isilent, ihatepink, five, nights, at, freddys, ben, the, backrooms, legende, snik, live, stream, cartoon, cat, sky, paranormal, reactie, xslayder, codrin, scp, amuzant, speed, demo, scoala, rapha, capybara, playtime, doors 2, life of luxury, ohio, update, secrete, banban 4, capra din ohio, skibidi wc, mcdonalds, tatal, strict, sammy, 99 nopti, steal a brainrot, sora",61,https://i.ytimg.com/vi/Qdr7737dHjs/hqdefault.jpg,ro,ro,False,1247,PT20M47S,hd,False,True,False,False,116272,7041,1502
MbBWkJckso8,RO,2026-05-27T04:56:27.070448+00:00,2026-05-23T09:00:06Z,Bogdan DLP - Te Pup | Official Video,Bogdan DLP - Te Pup | Official Video,Bogdan DLP,UCOSuXx0kB-vHNsVY222B3lQ,10,Music,"bogdan dlp te pup, bogdan dlp boyfriend, bogdan dlp solo, aladam, am fost bagabont, am iubit-o, amandoi, bax banii, bog, bogdan de la ploiesti, bogdan dlp, bogdan dlp 2026, bogdan dlp adrian minune, bogdan dlp aladam, bogdan dlp cristina pucean, bogdan dlp habibi, bogdan dlp inima, bogdan dlp karmen complicat, bogdan dlp rares",19,https://i.ytimg.com/vi/MbBWkJckso8/hqdefault.jpg,ro,ro,False,138,PT2M18S,hd,False,True,False,False,1028852,15582,2651
HCmpvr6mVRs,RO,2026-05-27T04:56:27.070457+00:00,2026-05-26T09:23:10Z,Mi-a Copiat Orasul…,Mi-a Copiat Orasul…,iSilent,UC4tcRE6ezR1ChjNUHM0kbmA,20,Gaming,"isilent, isilent se joaca, jocuri",3,https://i.ytimg.com/vi/HCmpvr6mVRs/hqdefault.jpg,ro,ro,False,943,PT15M43S,hd,False,True,False,False,63344,4723,418
6PaGSsY0tdU,RO,2026-05-27T04:56:27.070465+00:00,2026-05-16T09:00:06Z,Leo de la Rosiori - Cand e Dumnezeu cu tine ( Official Video ) 2026,Leo de la Rosiori - Cand e Dumnezeu cu tine ( Official Video ) 2026,Little Project by Edy Talent,UCfSrjZUtJvoF5hIpojwNqPA,10,Music,"leo de la rosiori, manele, manele noi, melodii leo de la rosiori, manele leo de la rosiori, Cand e Dumnezeu cu tine",6,https://i.ytimg.com/vi/6PaGSsY0tdU/hqdefault.jpg,ro,ro,False,177,PT2M57S,hd,False,True,False,False,1921292,12863,184
tYeNx8OEl6g,RO,2026-05-27T04:56:27.070472+00:00,2026-05-21T09:00:32Z,Cel Mai Caterinca Joc Horror,Cel Mai Caterinca Joc Horror,Gura da berbecutz,UCK0yUvz6r58t0xJaciOjQ3w,20,Gaming,"theo, zeciu, theo zeciu, gaming, theo zeciu se joaca, theo zeciu horror, montrey theo si dima, theo zeciu jocuri, theo zeciu live, live theo zeciu, live, gaming live, minecraft, csgo, fortnite, among us",16,https://i.ytimg.com/vi/tYeNx8OEl6g/hqdefault.jpg,ro,,False,2545,PT42M25S,hd,False,True,False,False,109624,4890,117
-EAw4le65aw,RO,2026-05-27T04:56:27.070495+00:00,2026-05-23T12:20:04Z,Tzanca Uraganu ❌️ Florin Salam❌️ Madatorricelli - Frate langa frate,Tzanca Uraganu ❌️ Florin Salam❌️ Madatorricelli - Frate langa frate,Tzanca Uraganu,UCiebKrTZGBhBqWQRNtQqwoA,10,Music,"tzanca uraganu, artist",2,https://i.ytimg.com/vi/-EAw4le65aw/hqdefault.jpg,ro,ro,False,179,PT2M59S,hd,False,True,False,False,543172,14367,304
_-DWuSCR7iY,RO,2026-05-27T04:56:27.070504+00:00,2026-05-25T11:30:32Z,BOBBY e 0101 ?,BOBBY e 0101 ?,Silentiosu',UCjkDaZXtsgTNjhFSszNyNkg,20,Gaming,"isilent, silentiosu, isilent minecraft, minecraft isilent, silentiosu minecraft, minecraft, minecraft romania, roblox, roblox romania, roblox steal a brainrot, steal a brainrot",11,https://i.ytimg.com/vi/_-DWuSCR7iY/hqdefault.jpg,ro,ro,False,743,PT12M23S,hd,False,True,False,False,45605,2095,187
nGKzIgWy1ug,RO,2026-05-27T04:56:27.070511+00:00,2026-05-18T12:33:06Z,BERECHET & CERCEL - LA NOI E CEARTA (AUDIO),BERECHET & CERCEL - LA NOI E CEARTA (AUDIO),Berechet,UCSuldQUns3wi0qbFlczFNDQ,10,Music,"berechet, deucess, sadboi club, berechet cearta, berechet la noi e cearta, la noi e cearta, cercel ereechet cearta, cercel berechet la noi e cearta",8,https://i.ytimg.com/vi/nGKzIgWy1ug/hqdefault.jpg,ro,ro,False,136,PT2M16S,hd,False,False,False,False,659528,12211,150
A8V-HGi5OBM,RO,2026-05-27T04:56:27.070519+00:00,2026-05-24T08:33:23Z,De la NECUNOSCUT la FAIMOS in GTA 5!,De la NECUNOSCUT la FAIMOS in GTA 5!,Mario Robert,UCOZUH8p0_3WkMDb9NomP3hA,20,Gaming,"gta 5, gta v, grand theft auto v, mario robert gta 5, gta 5 mods, gta 6, GTA VI, gta 5 RP, gta roleplay, gta fiveM, gta 5 gameplay, gta 5 online, supravietuiesc 99 ani in gta 5, de la necunoscut la faimos in gta 5, faimos gta 5, cel mai popular gta 5, popular gta 5, de la necunoscut la faimos, danut stefan gta 5, danut stefan, mario robert, mrbeast, De la NECUNOSCUT la FAIMOS in GTA 5!, mario gta 5",24,https://i.ytimg.com/vi/A8V-HGi5OBM/hqdefault.jpg,ro,ro,False,900,PT15M,hd,False,True,False,False,50630,4937,67
fpKzHTHq5JM,RO,2026-05-27T04:56:27.070526+00:00,2026-05-20T12:02:41Z,Costel Biju - Mor după tine (Live),Costel Biju - Mor după tine (Live),Manele Caviar,UCzOA3BWYzXWAHRMuH8wf-6w,10,Music,"2026, cbx live mor dupa tine, cbx mor dupa tine live, costel biju live mor dupa tine, costel biju mor dupa tine, costel biju mor dupa tine live, mor dupa tine live cbx, mor dupa tine live costel biju, official audio, official video",10,https://i.ytimg.com/vi/fpKzHTHq5JM/hqdefault.jpg,ro,en,False,173,PT2M53S,hd,False,True,False,False,544587,5150,32
qmOMgRGCvNs,RO,2026-05-27T04:56:27.070534+00:00,2026-05-25T17:49:17Z,Am fost la VANATOARE de CHUPACABRA,Am fost la VANATOARE de CHUPACABRA,Klorna,UCGh69zTKqqo4vPIJOndt32w,20,Gaming,,0,https://i.ytimg.com/vi/qmOMgRGCvNs/hqdefault.jpg,ro,ro,False,2178,PT36M18S,hd,False,True,False,False,42938,2774,381
