video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Fy4MmxxLFnI,RU,2026-02-18T03:24:25.937983+00:00,2026-02-17T17:44:42Z,Платина - Гикаю,Платина - Гикаю,Платина,UCURwni1sVtRnSjk1HbAO-sg,10,Music,,0,https://i.ytimg.com/vi/Fy4MmxxLFnI/hqdefault.jpg,ru,ru,False,130,PT2M10S,hd,False,True,False,False,65117,10043,625
IHWlvwu8t1w,RU,2026-02-18T03:24:25.938027+00:00,2026-02-17T14:00:19Z,The Mandalorian and Grogu | Official Trailer | In Theaters May 22,The Mandalorian and Grogu | Official Trailer | In Theaters May 22,Star Wars,UCZGYJFUizSax-yElQaFDp5Q,24,Entertainment,,0,https://i.ytimg.com/vi/IHWlvwu8t1w/hqdefault.jpg,en,en-US,False,132,PT2M12S,hd,True,True,False,False,3714796,94810,6931
Qizf1jR37CU,RU,2026-02-18T03:24:25.938039+00:00,2026-02-17T12:00:45Z,Lp. Мастерская [47] • #46 УДОБНЫЙ МЕЧ [Продолжение Лололошки] • Майнкрафт,Lp. Мастерская [47] • #46 УДОБНЫЙ МЕЧ [Продолжение Лололошки] • Майнкрафт,MrLololoshka (Роман Фильченков),UCAvrIl6ltV8MdJo3mV4Nl4Q,20,Gaming,"Лололошка, Lololoshka, MrLololoshka, Летсплей, Сборка, Скачать, Магия, Моды, Майнкрафт, Minecraft",10,https://i.ytimg.com/vi/Qizf1jR37CU/hqdefault.jpg,ru,ru,False,3324,PT55M24S,hd,False,True,False,False,672166,71561,11507
pZwsi_LJM_M,RU,2026-02-18T03:24:25.938050+00:00,2026-02-17T11:00:01Z,"ICEGERGERT, OBLADAET - Irkutsk power (Official Music Video)","ICEGERGERT, OBLADAET - Irkutsk power (Official Music Video)",ICEGERGERT,UC4nvfxMzteM0-ZH30Ybtenw,22,People & Blogs,,0,https://i.ytimg.com/vi/pZwsi_LJM_M/hqdefault.jpg,ru,ru,False,121,PT2M1S,hd,False,False,False,False,27748,2151,206
hWwXSb7dlnQ,RU,2026-02-18T03:24:25.938059+00:00,2026-02-17T15:58:05Z,DEATH AWAITS | Marathon Gameplay Trailer,DEATH AWAITS | Marathon Gameplay Trailer,Marathon,UCBsbrudhKRrT9zs8iNOEjjw,20,Gaming,"marathon, marathonthegame, bungie, pc, steam, xbox, ps, ps5, playstation, game, gamer, gaming, sony, videogame, videogames, pcgaming, gamingcommunity, youtubegaming",18,https://i.ytimg.com/vi/hWwXSb7dlnQ/hqdefault.jpg,en,en,False,80,PT1M20S,hd,True,False,False,False,100716,7763,1145
dtAWAMaffo4,RU,2026-02-18T03:24:25.938067+00:00,2026-02-17T13:43:21Z,Этот Спрингтрап СЛИШКОМ БЫСТРЫЙ,Этот Спрингтрап СЛИШКОМ БЫСТРЫЙ,windy31,UCZUrS0zDszsXI_5ir_tI3cg,24,Entertainment,,0,https://i.ytimg.com/vi/dtAWAMaffo4/hqdefault.jpg,ru,ru,False,1010,PT16M50S,hd,False,True,False,False,188553,17432,2091
h6Wy-qByzC4,RU,2026-02-18T03:24:25.938075+00:00,2026-02-17T12:42:36Z,Ernest Ogannesyan - Qez Sirel Em Kyanqis Kese,Ernest Ogannesyan - Qez Sirel Em Kyanqis Kese,Ernest Ogannesyan,UC3FSH-ZNEm2n6Zi0J5GqBIQ,10,Music,"Qez Sirel Em Kyanqis Kese, Qez Sirel Em, Kyanqis Kese, Karoti Mi Tesak, gam, GAM, Oksy Avdalyan, Sevani Apin, Jan Jan, Ջան Ջան, джан джан, Siro Patmutyun Yerevanic, Siro Patmutyun, Yerevanic, Arevmutq Arevelq, Mash Israelyan, Qani Qani, aravot, sus ara, sus ara mernem srtid yes, Du Kas, Ernest Ogannesyan, Ban chem uzum el avel, ban chem uzum, voroshel em, El ov el ov, Million Varder, Aperic sers elel, Mi Patmutyun, nor, haykakan, erger, Эрнест Оганнесян, Mi Amor, erger 2026",35,https://i.ytimg.com/vi/h6Wy-qByzC4/hqdefault.jpg,en,hy,False,180,PT3M,hd,False,True,False,False,135796,7259,370
eHZMD1xv6aA,RU,2026-02-18T03:24:25.938084+00:00,2026-02-17T16:34:00Z,МАНДАЛОРЕЦ И ГРОГУ НОВЫЙ ТРЕЙЛЕР ДЕТАЛЬНЫЙ РАЗБОР,МАНДАЛОРЕЦ И ГРОГУ НОВЫЙ ТРЕЙЛЕР ДЕТАЛЬНЫЙ РАЗБОР,Кеноби одобряет!,UCGWMzb5L9nGy910KG7FMwcg,1,Film & Animation,"мандалорец и грогу, мандо и грогу, мандалорец, мандалорец фильм, мандалорец 4 сезон, второй трейлер мандалорец и грогу, новый трейлер мандалорец и грогу, новый трейлер мандалорца, эмбо, ротта хатт, дин джарин, грогу, сигурни уивер, зеб, гаразеб ореллиос, империя, повстанцы, новый мандалорец, разбор нового трейлера мандалорец и грогу, разбор нового трейлера мандалорца, разбор нового мандалорца, охотники за головами, боба фетт, люк скайуокер, хан соло, mandalorian and grogu, р2д2",27,https://i.ytimg.com/vi/eHZMD1xv6aA/hqdefault.jpg,ru,ru,False,1022,PT17M2S,hd,False,True,False,False,5864,533,147
uzHZnHw4F34,RU,2026-02-18T03:24:25.938093+00:00,2026-02-17T09:01:46Z,ПРЯТКИ НО Я УМЕНЬШАЮ СВОЙ РАЗМЕР ЧТОБЫ ПОБЕДИТЬ!,ПРЯТКИ НО Я УМЕНЬШАЮ СВОЙ РАЗМЕР ЧТОБЫ ПОБЕДИТЬ!,EdisonPts,UCrpt82vHWIWZSHtNQxncPrg,20,Gaming,"Эдисон, Едисон, Edisonpts, Minecraft, Майнкрафт, Прятки",6,https://i.ytimg.com/vi/uzHZnHw4F34/hqdefault.jpg,ru,ru,False,1751,PT29M11S,hd,False,True,False,False,373806,24884,1032
nnEn05ToaKM,RU,2026-02-18T03:24:25.938101+00:00,2026-02-17T14:00:14Z,пазнякс - джеймс харден (клип),пазнякс - джеймс харден (клип),пазнякс,UCSlHM_5TRW7ujcMxH9-ZwSg,10,Music,"пазнякс, джеймс харден, клип, пазнякс джеймс харден, пазнякс джеймс харден клип, пазнякс мэйби бэйби, пазнякс жабинка-гродно, пазнякс жабинка гродно, пазнякс гавайская пицца, пазнякс отдыхаем, пазнякс треки, pazniax, пазнякс booker, пазнякс слава кпсс, пазнякс metox, пазнякс - джеймс харден (клип)",16,https://i.ytimg.com/vi/nnEn05ToaKM/hqdefault.jpg,ru,ru,False,149,PT2M29S,hd,False,False,False,False,15021,2306,144
