video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
_owfv1ZDZpc,SA,2026-06-20T04:51:33.827024+00:00,2026-06-19T13:30:06Z,Esaam Satti X Ali Naseraldeen - Bint alnbi عصام ساتي و علي نصرالدين - بنت النبي prod.by OmdaBeats ,Esaam Satti X Ali Naseraldeen - Bint alnbi عصام ساتي و علي نصرالدين - بنت النبي prod.by OmdaBeats ,Esaam Satti,UCijVz9FIG2FpbD5dFrOqhdA,10,Music,"عصام ساتي, بت النبي, بنت النبي, ثيريوم, Thoriumstudio90, Thoriumstudios90, السودان, النبي, sudan, Sudanese, اغاني سودانيه, اغاني عربيه, نصر, اهل العمار, نيلوس, esaam Satti, علي نصر الدين, empire, empire Wana, راب, rap, راب سوداني, موسيقى٥٦, music 65, الخرطوم, العرب, Arab, اغاني سودانية 2026, موسيقى سودانية, جديد الاغاني السودانية, حليم, سAfro Sudanese, afro, rap sudan",34,https://i.ytimg.com/vi/_owfv1ZDZpc/hqdefault.jpg,en,ar,False,180,PT3M,hd,True,False,False,False,55685,2487,725
s8cP1Vt5US8,SA,2026-06-20T04:51:33.827071+00:00,2026-06-19T12:44:08Z,『チェンソーマン 刺客篇』ティザーPV②／Chainsaw Man –  Assassins Arc Official Trailer 2,『チェンソーマン 刺客篇』ティザーPV②／Chainsaw Man –  Assassins Arc Official Trailer 2,MAPPA CHANNEL,UCjfAEJZdfbIjVHdo5yODfyQ,1,Film & Animation,,0,https://i.ytimg.com/vi/s8cP1Vt5US8/hqdefault.jpg,ja,ja,False,91,PT1M31S,hd,False,False,False,False,2794057,258734,9605
ZFCzdwFZVDM,SA,2026-06-20T04:51:33.827084+00:00,2026-06-19T10:31:51Z,تحدي البحث والإختباء عن طريق الرسم ( تنكر على شكل لوحة ) !!,تحدي البحث والإختباء عن طريق الرسم ( تنكر على شكل لوحة ) !!,Saud Brothers Gaming,UCsx34Mgq868blrmlALy9lJQ,20,Gaming,"تحدي, بحث, البحث, challenge, hide, seek, saud, saud brothers, قناة سعود, سعود واخوانه",10,https://i.ytimg.com/vi/ZFCzdwFZVDM/hqdefault.jpg,ar,ar,False,1249,PT20M49S,hd,False,True,False,False,326061,20924,1077
aeq5KHEhWQY,SA,2026-06-20T04:51:33.827094+00:00,2026-06-19T15:00:24Z,Kadejah Moaath - Thalath Seyouf | 2026 | خديجه معاذ - ثلاث سيوف,Kadejah Moaath - Thalath Seyouf | 2026 | خديجه معاذ - ثلاث سيوف,KADEJAH MOAATH | خديجه معاذ,UCn4hUhBIxWTvWhdg0PzMxEg,10,Music,"KADEJAH MOAATH, kadejah moaath | خديجة معاذ, أغاني خديجة معاذ, اغاني 2026, اغاني خديجة معاذ, اغاني خديجه معاذ, اغاني سعودية, اي شعور, جديد اغاني خديجه, جديد خديجة معاذ, جديد خديجه معاذ, جلسات خديجه معاذ, جوي, حفل خديجة معاذ, حفلات خديجة معاذ, خديجة معاذ ما طلبتك شي, خديجة معاذ جلسات, خديجة معاذ عين, خديجة معاذ ما طلبتك, خديجه معاذ 2026, خديجه معاذ اهل الحب, سند, صعب, كثر العتاب, Ma Talabtak She, ما طلبتك شي, سلطان خليفه, حقروص, صمت, ماكرهتك, ثلاث سيوف, Thalath Seyouf",32,https://i.ytimg.com/vi/aeq5KHEhWQY/hqdefault.jpg,ar,ar,False,197,PT3M17S,hd,False,True,False,False,10904,580,38
NA_7tmxv4_c,SA,2026-06-20T04:51:33.827103+00:00,2026-06-18T11:30:07Z,"I,Nobody Trailer - Malayalam| Prithviraj Sukumaran| Parvathy Thiruvothu| Nisam Basheer| Jakes Bejoy","I,Nobody Trailer - Malayalam| Prithviraj Sukumaran| Parvathy Thiruvothu| Nisam Basheer| Jakes Bejoy",E4 Entertainment,UCXcgltdMvm3ph4D6u-wku5g,1,Film & Animation,"nobdoy, inobody, pritviraj, prithviraj, nobody, mitsuki nobody, i nobody prithviraj, i nobody prithviraji, i nobody prithviraj movie, i nobody, i nobody trailer, i nobody 2023, i nobody film, i nobody movie, i nobody review, i nobody teaser, i nobody analysis, i nobody insights, i nobody first look, i nobody release date, prithviraj movie nobody, prithviraj nobody movie, i nobody malayalam movie, prithviraj sukumaran in nobody, prithviraj sukumaran nobody movie",25,https://i.ytimg.com/vi/NA_7tmxv4_c/hqdefault.jpg,en,ml,False,135,PT2M15S,hd,True,True,False,False,1181798,38704,1742
XuYjC8IGEXg,SA,2026-06-20T04:51:33.827112+00:00,2026-06-18T11:00:44Z,باركور الراحة النفسية😮‍💨✨نيدو سكوشي😋| روبلوكس | needoh tower roblox ,باركور الراحة النفسية😮‍💨✨نيدو سكوشي😋| روبلوكس | needoh tower roblox ,لانا و رورو,UCV5ZVvsnqXniOnI4yydz8pQ,22,People & Blogs,,0,https://i.ytimg.com/vi/XuYjC8IGEXg/hqdefault.jpg,ar,ar,False,829,PT13M49S,hd,False,True,False,False,1131006,36702,11314
tXeTebm1syY,SA,2026-06-20T04:51:33.827121+00:00,2026-06-19T15:58:40Z,فرقة ورد | الحاج باسم الكربلائي,فرقة ورد | الحاج باسم الكربلائي,Basim Karbalaei / باسم الكربلائي,UCLlMiPx_v5jFahvImDu_EFQ,10,Music,"باسم الكربلائي, لطميات, عاشوراء, محرم, ياعلي, النجف, كربلاء, basim karbalaei, basim karbalai, mulla, bassim, basim",12,https://i.ytimg.com/vi/tXeTebm1syY/hqdefault.jpg,ar,ar,False,1156,PT19M16S,hd,False,True,False,False,240774,21556,1491
62bIsvRcPv0,SA,2026-06-20T04:51:33.827129+00:00,2026-06-17T18:58:31Z,SPIDER-MAN: BRAND NEW DAY – New Trailer (4K),SPIDER-MAN: BRAND NEW DAY – New Trailer (4K),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,24,Entertainment,,0,https://i.ytimg.com/vi/62bIsvRcPv0/hqdefault.jpg,en,en,False,162,PT2M42S,hd,True,True,False,False,16746667,533683,22170
B_5aRsYbs5g,SA,2026-06-20T04:51:33.827137+00:00,2026-06-19T13:00:10Z,اكتشفت مراحل جديدة بماب الكيبورد! 😱,اكتشفت مراحل جديدة بماب الكيبورد! 😱,El Husamo X,UCOMwpjGPUrGGUS2Diq6UmVw,20,Gaming,"gaming, viral, trending, horror, جيمنج, ترند, roblox, روبلوكس, ماين, ماينكرافت, ماين كرافت, كرافت, minecraft, mine craft, gta, gtav, el husamo, ال حسامو, حسامو, husamo, الحسامو, elhusamo, peekaa, peeka, naruto, hope rima, rima, abo flah, flah, abo, ابو فله, فله, فلة, رعب, صعب, تنرفز, مستفز, trend, dubai, uae, دبي, كرة, قدم, انيمي, anime, simulator, محاكي, foryou",48,https://i.ytimg.com/vi/B_5aRsYbs5g/hqdefault.jpg,ar,ar,False,1114,PT18M34S,hd,False,True,False,False,434976,14258,4859
drEK6s_V5kE,SA,2026-06-20T04:51:33.827147+00:00,2026-06-18T12:00:12Z,مو شهر | الشيخ حسين الأكرف,مو شهر | الشيخ حسين الأكرف,Husain Alakraf  الشيخ حسين الأكرف,UCkA-Ue01VyMa7vBUUpQFOTw,10,Music,"مو شهر, الشيخ حسين الأكرف, Husain Alakraf, عاشوراء 2026, محرم 1448, محرم 2026, عاشوراء الحسين, ashoura, muharram, لطميات محرم, محرم الحرام, عاشوراء1448, ندب, shia, شور, لطميات, رادود, hussein, iraq, المشايه, موكب, ندبيات, حسين, عاشوراء, ashura, عزاء, كربلاء, ندبية, مجلس, ملا, الإمام الحسين, imam, شيعه, محرم, مشايه, لطم, الاربعين, العراق, لطمية, بين الحرمين, الزيارة, هوسات, الامام, علي, فاطمة, زهراء, قصائد, قرايات, زينب, بيات ديجيتال, bayat digital",51,https://i.ytimg.com/vi/drEK6s_V5kE/hqdefault.jpg,ar,ar,False,327,PT5M27S,hd,False,True,False,False,81156,4050,231
