video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
DqA1pxk4yhQ,SG,2026-02-23T03:25:53.471843+00:00,2026-02-12T11:42:17Z,G Fatt - သမုဒယနဲ့ ချည်တဲ့နွယ်,G Fatt - သမုဒယနဲ့ ချည်တဲ့နွယ်,G Fatt,UC89DR_JHR47nnL09fR9qQ4g,10,Music,"နာရတဲ့ကဗျာ, ၈ရက်၈လ၈နာရီ, g fatt, ရွက်လှေ, G Fatt, G Fatt Official Channel, G Fatt Official, G Fatt Channel, G Fatt Songs, G Fatt Myanmar Songs, Myanmar songs, New Songs, G Fatt မြန်မာသီချင်းများ, G Fatt သီချင်းများ, အဝေးပြေးလမ်းမ, #youtubeislife, #subscriber, #youtubeguru, #youtubecontent, #newvideo, #subscribers, #youtubevideo, #youtube, #youtuber, #youtubevideos, YouTube Challenges, YouTube Shorts, Live Streaming, Community Engagement, DIY/Life Hacks/How to, Immersive Shopping, 360 Video",32,https://i.ytimg.com/vi/DqA1pxk4yhQ/hqdefault.jpg,my,und,False,361,PT6M1S,hd,False,True,False,False,4916662,119385,6311
IOADonyCAcc,SG,2026-02-23T03:25:53.471885+00:00,2026-02-20T04:05:00Z,Toxic Official Tamil Teaser | Rocking Star Yash | Geetu Mohandas | KVN | Monster Mind Creations,Toxic Official Tamil Teaser | Rocking Star Yash | Geetu Mohandas | KVN | Monster Mind Creations,KVN PRODUCTIONS,UC3DOgauBYLQQXdH1siGjfpw,1,Film & Animation,"Toxic, Toxic Movie, Toxic Teaser, Toxic Official Teaser, Toxic Yash, Yash Toxic, Rocking Star Yash, Yash New Movie, KVN Productions, Monster Mind Creations, Geetu Mohandas, Ravi Basrur, Ravi Basrur Music, Kiara Advani, Nayanthara, Huma Qureshi, Tara Sutaria, Rukmini Vasanth, Rocky Bhai, Yash Movie, Toxic Update, KGF 3, Toxic A Fairy Tale, Daddy's Home, Toxic Dialogue, Daddy is Home, KVN, KFI, Introducting Raya, Toxic Telugu, Toxic Telugu Teaser, Tozic Teaser",32,https://i.ytimg.com/vi/IOADonyCAcc/hqdefault.jpg,en,ta,False,116,PT1M56S,hd,True,True,False,False,4411601,98839,2953
VWLl18skl7Y,SG,2026-02-23T03:25:53.471898+00:00,2026-02-21T16:00:06Z,100th Brawler Reveal - Brawl Talk,100th Brawler Reveal - Brawl Talk,Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, sirius, 100th, 100, prestige, trophy, brawl talk, marzio, dani, drew, rework, trophies, najia, buffies, loaded, showdown",22,https://i.ytimg.com/vi/VWLl18skl7Y/hqdefault.jpg,en,en,False,843,PT14M3S,hd,True,True,False,False,8579611,327175,33692
fiphSKCdXIc,SG,2026-02-23T03:25:53.471908+00:00,2026-02-20T12:01:29Z,DIOR大穎 - 人的這一生 - (Official MV) 電影《老婆，我愛你！》插曲,DIOR大穎 - 人的這一生 - (Official MV) 電影《老婆，我愛你！》插曲,DIOR大穎,UC-affZZext8Q2x63gzLqROg,10,Music,,0,https://i.ytimg.com/vi/fiphSKCdXIc/hqdefault.jpg,zh-Hant,zh,False,286,PT4M46S,hd,False,True,False,False,140049,5593,164
XUCDJr6XLsE,SG,2026-02-23T03:25:53.471917+00:00,2026-02-20T12:52:10Z,Meesaya Murukku 2 - The Reveal Teaser | Hiphop Tamizha | Khushbu Sundar | ACS Arun Kumar,Meesaya Murukku 2 - The Reveal Teaser | Hiphop Tamizha | Khushbu Sundar | ACS Arun Kumar,Saregama Tamil,UCzee67JnEcuvjErRyWP3GpQ,1,Film & Animation,,0,https://i.ytimg.com/vi/XUCDJr6XLsE/hqdefault.jpg,en,ta,False,112,PT1M52S,hd,True,True,False,False,4413791,162928,2903
La1zClF8jdY,SG,2026-02-23T03:25:53.471924+00:00,2026-02-21T14:00:28Z,I Explored the World's Largest Minecraft Server,I Explored the World's Largest Minecraft Server,Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,20,Gaming,"wemmbu, wembu, minecraft, wemmbu minecraft, wemmbu unstable smp, unstable smp, the unstable smp experience, i joined the world's largest minecraft server, i joined unstable smp, I explored the world's largest minecraft server, unstable universe, unstable smp in order, world's largest minecraft server, minecraft smp",14,https://i.ytimg.com/vi/La1zClF8jdY/hqdefault.jpg,en,en,False,2395,PT39M55S,hd,False,True,False,False,3528553,206533,22024
F7sGJVUrkjQ,SG,2026-02-23T03:25:53.471932+00:00,2026-02-20T09:00:21Z,Hearts2Hearts 하츠투하츠 'RUDE!' MV,Hearts2Hearts 하츠투하츠 'RUDE!' MV,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,10,Music,"신인, SM, debut, 데뷔, Hearts2Hearts, 하츠투하츠, 걸그룹, new girl group, girl group, 카르멘, 지우, 유하, 스텔라, 주은, 에이나, 이안, 예온, MV, Music Video, 뮤직 비디오, 뮤비, FOCUS, 포커스, CARMEN, JIWOO, YUHA, STELLA, JUUN, A-NA, IAN, YE-ON, RUDE!, 루드",33,https://i.ytimg.com/vi/F7sGJVUrkjQ/hqdefault.jpg,ko,ko,False,216,PT3M36S,hd,True,True,False,False,14585049,400277,38414
c51ND9Hdbw0,SG,2026-02-23T03:25:53.471941+00:00,2026-02-19T17:00:14Z,Toy Story 5 | Official Trailer | In Theaters June 19,Toy Story 5 | Official Trailer | In Theaters June 19,Pixar,UC_IRYSp4auq7hKLvziWVH6w,1,Film & Animation,"Pixar, Disney, Disney Pixar, Pixar Movie, Animation",5,https://i.ytimg.com/vi/c51ND9Hdbw0/hqdefault.jpg,en,en,False,145,PT2M25S,hd,True,True,False,False,8389345,217696,17221
mjUEh3hI9IE,SG,2026-02-23T03:25:53.471949+00:00,2026-02-22T13:46:57Z,T1 vs DK | 2026 LCK CUP Playoffs,T1 vs DK | 2026 LCK CUP Playoffs,LCK Global,UCKVlixycWmapnGQ_wht4cHQ,20,Gaming,"LCK, LoL, League of Legends, LoL Champs, LCK global, lolesports, riotgames, league of legends, PogState, the pogstate, esports podcast, LCK podcast, LoL podcast, Atlus, Wolf, Proxywolf, Maurits, Chronicler, DK, Damwon, T1, GEN, DRX, KDF, HLE, Hanwha Life, BRO, Brion, Nongshim, NS, Liiv SANDBOX, LSB, KT, kt Rolster, lck summer, lck spring, Mad movie, Faker, Chovy, Bdd, lck highlight, LCK VOD, LCK Summer, LCK Spring, BEST Moment, Kwangdong Freecs, ShowMaker, Dplus Kia",48,https://i.ytimg.com/vi/mjUEh3hI9IE/hqdefault.jpg,ko,en,False,20376,PT5H39M36S,hd,False,True,False,False,2027712,10416,205
0t6GNcINKeU,SG,2026-02-23T03:25:53.471958+00:00,2026-02-20T04:00:06Z,SB19 'VISA' Music Video,SB19 'VISA' Music Video,SB19 Official,UCm4v7afBTnJKRm4SlfHJzyg,10,Music,"sb19, music, opm, ppop, justin, stell, josh, sejun, ken, showbt, filipino music, official sb19, sb19 official, sb19 pablo, sb19 ken, sb19 josh, sb19 justin, sb19 stell, sb19 youtube, sb19 channel, showbt philippines, sb19 videos, sb19 performances, sb19 songs, sb19 music videos, sb19 vlogs, sb19 bbmas, sb19 billboard music awards",28,https://i.ytimg.com/vi/0t6GNcINKeU/hqdefault.jpg,en,en,False,233,PT3M53S,hd,True,True,False,False,1389048,103169,16251
