video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
W_WqUQwnLrY,SK,2026-05-29T04:54:31.896914+00:00,2026-05-26T07:00:06Z,Slavo Gazi -  The Beast (Official Video),Slavo Gazi -  The Beast (Official Video),Slavo Gazi,UCkfc55GcyuWQUa4udqFfMAQ,10,Music,,0,https://i.ytimg.com/vi/W_WqUQwnLrY/hqdefault.jpg,en,ru,False,176,PT2M56S,hd,False,True,False,False,164960,3620,306
jLbst85USN8,SK,2026-05-29T04:54:31.896953+00:00,2026-05-28T14:53:06Z,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty: Modern Warfare 4 | Reveal Trailer,Call of Duty,UC9YydG57epLqxA9cTzZXSeQ,20,Gaming,"call of duty, cod, activision, call of duty: modern warfare 4, modern warfare 4, mw4",6,https://i.ytimg.com/vi/jLbst85USN8/hqdefault.jpg,en,en,False,170,PT2M50S,hd,False,True,False,False,7153663,143001,15920
D1gL-qoju0w,SK,2026-05-29T04:54:31.896965+00:00,2026-05-26T12:45:01Z,Mám Novou Přítelkyni 😍 a Taky Nový Účes... ☠️,Mám Novou Přítelkyni 😍 a Taky Nový Účes... ☠️,Mich Sako,UCoBTbKllnZ809gucvfEgdqg,20,Gaming,"mich sako kariera, fc 26 kariera mich sako, kariera trenera fc 26, mich sako kariera hrace, fotbal, fc, eafc, ea fc 26, fc 26, michsako fc, hráč, player, player career mode, career mode, kariéra, kariera, kariera hrace, kariéra hráče, mich sako koutinho, koutinho, koutinho kariéra, kariera za koutinha, koutinho fc 26, mich sako kariera za koutinha, fifa, fifa 26, cz, football, cesta, irl, mekac, koutinho přestup, účes, hairstyle, kouty, mich sako kouty, fc pískej konec, piskej konec, koutino",39,https://i.ytimg.com/vi/D1gL-qoju0w/hqdefault.jpg,cs,cs,False,1958,PT32M38S,hd,False,True,False,False,130980,6538,1694
fcnDmrtj6Sk,SK,2026-05-29T04:54:31.896976+00:00,2026-05-23T16:14:03Z,"Shakira, Burna Boy - Dai Dai (Official Video)","Shakira, Burna Boy - Dai Dai (Official Video)",Shakira,UCYLNGLIzMhRTi6ZOLjAPSmw,26,Howto & Style,,0,https://i.ytimg.com/vi/fcnDmrtj6Sk/hqdefault.jpg,en,en,False,241,PT4M1S,hd,False,True,False,False,37650264,1689936,89604
g1fq327snPU,SK,2026-05-29T04:54:31.896984+00:00,2026-05-27T12:00:00Z,Enola Holmes 3 | Official Teaser | Netflix,Enola Holmes 3 | Official Teaser | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Action, Adventure, Blockbuster, Enola Holmes 3, Film, Helena Bonham Carter, Henry Cavill, Louis Partridge, MBB, Millie Bobby Brown, Mystery, Netflix, Netflix Film, Romance, Sherlock, Sherlock Holmes, Stranger Things, The Witcher, Victorian",19,https://i.ytimg.com/vi/g1fq327snPU/hqdefault.jpg,en,en-US,False,81,PT1M21S,hd,True,True,False,False,1551397,55964,2259
_WqflbZUBwU,SK,2026-05-29T04:54:31.896993+00:00,2026-05-23T06:35:14Z,Rodičia mi ZAKÁZALI NOVÚ FRAJERKU v Schoolboy Runaway v Minecraft,Rodičia mi ZAKÁZALI NOVÚ FRAJERKU v Schoolboy Runaway v Minecraft,Asimister,UCmsd0Ar0UoZoMbYEBUWLWMA,20,Gaming,"asimister, minecraft, minecraft cz, minecraft cz sk, minecraft cz survival, minecraft cz/sk, minecraft cz sk lets play, minecraft gameplay cz, minecraft sk cz, minecraft cz download, asimister minecraft, gameplay, gameplay minecraft, gameplay cz, gameplay cz sk, minecraft dedina, asimister minecraft life hacky, asimister minecraft dedina, schoolboy runaway, schoolboy runaway cz, schoolboy runaway asimister, asimister school boy runaway, minecraft pocket edition cz",23,https://i.ytimg.com/vi/_WqflbZUBwU/hqdefault.jpg,sk,sk,False,1209,PT20M9S,hd,False,True,False,False,74736,2754,116
k8FVNP9e8Qc,SK,2026-05-29T04:54:31.897002+00:00,2026-05-21T22:00:21Z,P.A.T. - PRŠÍ (Official video),P.A.T. - PRŠÍ (Official video),P.A.T. Official,UC-KqLLDdE-hr_naIMrwNmxg,10,Music,"franto, real franto, pat, p.a.t., poulicny autor tonov, pozor records, rytmus, album pat, pat album, franto album, 3umf, triumf",12,https://i.ytimg.com/vi/k8FVNP9e8Qc/hqdefault.jpg,sk,sk,False,166,PT2M46S,hd,False,True,False,False,76225,2593,93
3PasCtevVM4,SK,2026-05-29T04:54:31.897011+00:00,2026-05-19T12:30:06Z,Scary Movie (2026) CZ dabing HD trailer #CoJééé!,Scary Movie (2026) CZ dabing HD trailer #CoJééé!,Totalfilm.cz,UCrnvx9KJ8v63SODw082L3Ww,24,Entertainment,"trailery česky, Totalfilm.cz, český, trailer, CZ, HD",6,https://i.ytimg.com/vi/3PasCtevVM4/hqdefault.jpg,cs,cs,False,144,PT2M24S,hd,False,True,False,False,76354,3038,124
okTmgejIbBQ,SK,2026-05-29T04:54:31.897019+00:00,2026-05-24T07:00:33Z,SirYakari hodnotí můj HARDCORE svět 1000+ dní,SirYakari hodnotí můj HARDCORE svět 1000+ dní,DoslovaMatty,UCGzVYYSXy5WMcrcjOYErGKw,20,Gaming,"DoslovaMatty, Matty, MattyhoVidea, Mattyho Videa, DoslovaMaty, Maty, Doslova Matty, matty doslova, doslova, doslova maty",10,https://i.ytimg.com/vi/okTmgejIbBQ/hqdefault.jpg,cs,cs,False,2141,PT35M41S,hd,False,True,False,False,142149,7436,289
s337KRo4v5s,SK,2026-05-29T04:54:31.897027+00:00,2026-05-13T18:20:01Z,HARD RICO - G Party / Vše co chci (prod. Zizlav / Gidan),HARD RICO - G Party / Vše co chci (prod. Zizlav / Gidan),HARD RICO,UCu7ZlNE2mMavbt8VYmBtLqQ,10,Music,"ricio, rico, ostrava, hard rico, strenus, umg, universal music, universal, music, hard, hip hop, rap, nová scéna, slovenská scéna, novinka, nové album, ďáblův syn, ďáblův, syn, hard rico - ďáblův syn, rico - ďáblův syn, nový track, nový song, česká scéna",24,https://i.ytimg.com/vi/s337KRo4v5s/hqdefault.jpg,en,cs,False,220,PT3M40S,hd,False,True,False,False,840410,20535,1240
