video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
6kykSb4XofI,TH,2026-04-13T03:59:52.321661+00:00,2026-04-10T11:59:07Z,PROXIE - ฮ็อบ (Hob) | Official MV,PROXIE - ฮ็อบ (Hob) | Official MV,PROXIE,UCsY2NnPmimBj2BvWOecMgpw,10,Music,"PROXIE, Gun, Gorn, Chokun, Victor, Onglee, Kim, Tpop, Thailand pop, boybrand, ฮ็อบ, Hob, เพลงสงกรานต์",13,https://i.ytimg.com/vi/6kykSb4XofI/hqdefault.jpg,th,th,False,267,PT4M27S,hd,True,True,False,False,440226,30113,1881
AjFk1cY265I,TH,2026-04-13T03:59:52.321702+00:00,2026-04-10T16:29:45Z,Digital Circus Ep 9 Finale [TRAILER],Digital Circus Ep 9 Finale [TRAILER],GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/AjFk1cY265I/hqdefault.jpg,en,en,False,70,PT1M10S,hd,True,True,False,False,18036861,1387099,102081
wcJBRdYsR7Y,TH,2026-04-13T03:59:52.321714+00:00,2026-04-12T09:38:00Z,เจ้าหมีหายตัวไป 🏡 Brookhaven RP,เจ้าหมีหายตัวไป 🏡 Brookhaven RP,TOR Torpedo,UCvE7UoDDYsX21WRR0lR3Z5g,20,Gaming,"ต่อตอปิโด, เจ้าหมี, แคสเกม, โรบอก, โรบอค, เกม, พี่ต่อ, roblox, Experience Roblox, Experience, กะดึก, หลังเที่ยงคืน, ตอนตี 3, สุดหลอน, งานกะดึก, horror game roblox, horror game, เกมน่ากลัว, เกมสยอง",19,https://i.ytimg.com/vi/wcJBRdYsR7Y/hqdefault.jpg,th,th,False,1067,PT17M47S,hd,False,True,False,False,183719,2985,329
BhJHFAu5pX8,TH,2026-04-13T03:59:52.321724+00:00,2026-04-11T12:00:22Z,อยู่ด้วยกันนะ (Every Single Day) - FOURTH [ OFFICIAL MV ],อยู่ด้วยกันนะ (Every Single Day) - FOURTH [ OFFICIAL MV ],RISER MUSIC,UC-vShcsYE730gWSbvsy44QQ,10,Music,"RISER MUSIC, GMMTV",2,https://i.ytimg.com/vi/BhJHFAu5pX8/hqdefault.jpg,th,th,False,242,PT4M2S,hd,True,True,False,False,174992,24607,2406
TLCSlMzGFCc,TH,2026-04-13T03:59:52.321732+00:00,2026-04-12T02:51:55Z,[ช็อตต่อช็อต] Mortal Kombat 2 Final Trailer Breakdown,[ช็อตต่อช็อต] Mortal Kombat 2 Final Trailer Breakdown,Scoop Viewfinder,UC5oCQGhzMwXIOSW6UfB6wbA,1,Film & Animation,"ScoopViewfinder, Viewfinder, รายการViewfinder, รายการหนัง, ภาพยนตร์, ช่องวิวไฟน์เดอร์, วิวไฟนเดอร์, วิวฟายเดอร์, ช่องหนัง, ประวัติศาสตร์, แนะนำ, ติวเข้ม, ก่อนดู, พรีวิว, อัพเดทหนัง, ข่าวหนัง, อัพเดทข่าวหนัง, เนื้อเรื่อง",18,https://i.ytimg.com/vi/TLCSlMzGFCc/hqdefault.jpg,th,th,False,1439,PT23M59S,hd,False,True,False,False,24295,613,63
QF5YpZI1wnk,TH,2026-04-13T03:59:52.321740+00:00,2026-04-11T16:00:01Z,I Survived 100 Days in Skyblock,I Survived 100 Days in Skyblock,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/QF5YpZI1wnk/hqdefault.jpg,en,en,False,1362,PT22M42S,hd,True,True,False,False,21314909,454859,15170
dKmPEhJ4wjY,TH,2026-04-13T03:59:52.321748+00:00,2026-04-08T15:00:06Z,"Anyma, LISA - Bad Angel (Official Music Video)","Anyma, LISA - Bad Angel (Official Music Video)",Anyma,UCHXy48aYSYeRaBuMOedwxAQ,10,Music,"anyma lisa, lisa bad angel, anyma bad angel, anyma lisa bad angel, lisa, anyma, anyma x lisa, anyma lisa bad angel music video, bad angel, bad angel music video, edm, blackpink, lisa music video, Anyma New Song 2026, LISA New Song 2026, Anyma x LISA Official, LISA Blackpink, LLOUD, LISA Solo, Lalisa Manobal, K-pop Collaboration, LISA Dance, LISA Visuals, melodic techno, anyma 2026, lisa 2026, blackpink 2026",27,https://i.ytimg.com/vi/dKmPEhJ4wjY/hqdefault.jpg,en,en,False,150,PT2M30S,hd,False,False,False,False,7048746,619616,41684
j6e_4OYVbxc,TH,2026-04-13T03:59:52.321756+00:00,2026-04-10T12:40:02Z,"Honkai: Star Rail x MAPPA Animation Concept Trailer — ""Death in the Afternoon""","Honkai: Star Rail x MAPPA Animation Concept Trailer — ""Death in the Afternoon""",Honkai: Star Rail,UC2PeMPA8PAOp-bynLoCeMLA,20,Gaming,,0,https://i.ytimg.com/vi/j6e_4OYVbxc/hqdefault.jpg,en,en,False,173,PT2M53S,hd,False,False,False,False,1374798,126826,3296
rZsiqh3tSq8,TH,2026-04-13T03:59:52.321763+00:00,2026-04-12T06:01:11Z,หนีตาย!!? เอาชีวิตรอด สุดขอบฟ้า Minecraft The Series EP1 l จุดเริ่มต้นเเห่งจุดจบ,หนีตาย!!? เอาชีวิตรอด สุดขอบฟ้า Minecraft The Series EP1 l จุดเริ่มต้นเเห่งจุดจบ,Aekk,UCAeHTcJX2zRPRTCGrFKgamg,20,Gaming,"Minecraft, มายคราฟ, เอาชีวิตรอด 100วัน, Minecraft 100days, มายคราฟเอาชีวิตรอด, เอาตัวรอด, survival, 100days, minecraft hardcore, ฮาร์ดคอร์, เอาชีวิตรอดจากซอมบี้, ซอมบี้, 100วัน ซอมบี้, 100วัน Minecraft, Minecraft เอาชีวิตรอด, โลกปรสิต, 200วัน, 100 วันใน minecraft, Aekk, Aek, Aekk 100วัน, Zombie, เขาวงกต, THE LAST OF US, น้ำท่วม, โลกเเตก, 100วัน, ทะเล, กลายพันธ์, เอกออม, สัตว์ประหลาด, กินคน, cave, สยอง, hallowenn, น่ากลัว, ป่า, ผี, หลอน, ป่าไม้, คำสาป, ต้องสาป, ปีศาจ, อันตราย, dweller, anomaly, th, parasite, ประสิต, ครองโลก",50,https://i.ytimg.com/vi/rZsiqh3tSq8/hqdefault.jpg,th,th,False,5441,PT1H30M41S,hd,False,True,False,False,203269,14756,1184
oJ9QjrBdVz4,TH,2026-04-13T03:59:52.321773+00:00,2026-04-11T01:30:51Z,Long Play รวมเพลงสงกรานต์ เวอร์ชั่นต้นฉบับ,Long Play รวมเพลงสงกรานต์ เวอร์ชั่นต้นฉบับ,Metro Records,UCRp31PpV0mjinerqibt7DgA,10,Music,"สุนทราภรณ์, เพลงสุนทราภรณ์, ครูเอื้อ, เพลงย้อนยุค, เพลงอมตะ, เมโทรแผ่นเสียง, เพลงดังในอดีต, suntaraporn, metro records, Metro records, เอื้อ สุนทรสนาน, Long Play รวมเพลงสงกรานต์ เวอร์ชั่นต้นฉบับ, ชาวคณะสุนทราภรณ์, วงดนตรีสุนทราภรณ์, รวมเพลงสงกรานต์, เพลงสงกรานต์ต้นฉบับ, เพลงสงกรานต้นฉบับสุนทราภรณ์, รำวงเริงสงกรานต์, รำวงวันสงกรานต์, รำวงสงกรานต์หวานใจ, ตลุงสุขสงกรานต์, วิมานสงกรานต์, รำวงปิดทองพระ, สื่อสงกรานต์, รำวงสาวงามตา, รำวงสาวบ้านแต้, ตลุงมอญซ่อนผ้า, รำวงมาลัยรจนา, รำวงเกี่ยวข้าว, แห่นางสงกรานต์, รำวงสุขสำราญ",31,https://i.ytimg.com/vi/oJ9QjrBdVz4/hqdefault.jpg,th,th,False,4512,PT1H15M12S,hd,False,True,False,False,59644,510,15
