video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
i5nlVzm7cgk,TR,2026-03-30T03:48:53.930628+00:00,2026-03-26T14:52:41Z,Ta Ki Seni Görene Kadar,Ta Ki Seni Görene Kadar,Anadolu Rock Cover - Topic,UC6UtBzxtXc4TXmwosvjf9_A,10,Music,"Anadolu Rock Cover, Ta Ki Seni Görene Kadar",2,https://i.ytimg.com/vi/i5nlVzm7cgk/hqdefault.jpg,tr,tr,False,215,PT3M35S,hd,False,True,False,False,1087627,9778,105
KhPFsDv45uY,TR,2026-03-30T03:48:53.930671+00:00,2026-03-27T15:28:09Z,HARRY POTTER DİZİSİ FRAGMANDAKİ TÜM DETAYLAR! ⚡️,HARRY POTTER DİZİSİ FRAGMANDAKİ TÜM DETAYLAR! ⚡️,Mösyö Taha,UCO3EV9AYxEw-M_3kpne5OLA,24,Entertainment,"mösyö taha, mösyö taha Harry Potter, mösyö taha vlog, Harry Potter kanalı, harry potter dizisi, harry potter series, harry potter hbo, harry potter dizisi fragman, harry potter trailer, harry potter reboot, harry potter yeni dizi, harry potter analiz, harry potter detaylar, harry potter inceleme, diagon alley, hogwarts dizisi, harry potter set görüntüleri, harry potter cast, harry potter tv show, harry potter easter egg, harry potter teorileri, harry potter haber",22,https://i.ytimg.com/vi/KhPFsDv45uY/hqdefault.jpg,tr,tr,False,1889,PT31M29S,hd,False,True,False,False,154372,7853,1168
gvuxyGhhjQc,TR,2026-03-30T03:48:53.930684+00:00,2026-03-29T08:00:00Z,GÜVENLİ DAİRENİN DIŞINA SAKIN ÇIKMA! 😱 - Minecraft,GÜVENLİ DAİRENİN DIŞINA SAKIN ÇIKMA! 😱 - Minecraft,Minecraft Parodileri,UC2XbMXD6jSrixkpgs7vHFUA,20,Gaming,"zengin fakir, minecraft, minecraft video, minecraft videoları, zengin vs fakir, kerem komiser, efekan, maykıraf, maykıraf izle, minecraft izle, türkçe minecraft, minecraft parodileri, zengin ve fakir, minecraft parodileri zengin fakir, minecraft oyna, minecraf, mine craft, mine kıraft, minekıraft, minekıraft parodileri",20,https://i.ytimg.com/vi/gvuxyGhhjQc/hqdefault.jpg,tr,tr,False,1289,PT21M29S,hd,False,True,False,False,623400,14488,1557
sNZW_GxwSu0,TR,2026-03-30T03:48:53.930694+00:00,2026-03-26T21:00:06Z,Ahiyan - Rüya Gibiydin (Official Video),Ahiyan - Rüya Gibiydin (Official Video),Ahiyan,UCAiIoGma3y6xKbh777BmjYQ,10,Music,"ahiyan, ahiyan rüya, ahiyan rüye gibiydin, rüya gibiydin, Rüya gibiydin kabuslarım oldun, Hem ağlatırken hem güler gibiydin, Bilmek ister misin sevmek zehir oldu, Bir hikaye oldu hayatımda benim için, ahiyan gibiydin, ahi rüya, ahi rüya gibiydin, anışmaya gerek var mı, Bana göre her “sen” aynı, Ya da benim benden ayrı, Kendince bir kalp taşıyor, Gece de gündüz ayrı, Ama bir gün içinde, Hepimizin susmaya ihtiyacı var, Düşünüyorum da neyim yok ki",19,https://i.ytimg.com/vi/sNZW_GxwSu0/hqdefault.jpg,tr,tr,False,180,PT3M,hd,False,True,False,False,643372,22080,1314
RIu4sFKGi6E,TR,2026-03-30T03:48:53.930703+00:00,2026-03-25T19:00:01Z,Harry Potter and the Philosopher's Stone | Official Teaser | HBO Max,Harry Potter and the Philosopher's Stone | Official Teaser | HBO Max,Harry Potter,UChPRO1CB_Hvd0TvKRU62iSQ,1,Film & Animation,"Harry Potter, Wizarding World, Warner Bros, Hogwarts, Marauders Map, Draco Malfoy, Ron Weasley, Hermione Granger, Harry Potter Lore, Potter, slytherin, ravenclaw, gryffindor, hufflepuff, hbomax, harrypotterhbo",16,https://i.ytimg.com/vi/RIu4sFKGi6E/hqdefault.jpg,en-GB,en-GB,False,129,PT2M9S,hd,True,True,False,False,8421168,247406,31327
mJANoveyFQg,TR,2026-03-30T03:48:53.930714+00:00,2026-03-29T15:30:25Z,NEDEN Gerçekçi Ferited'in Evindeyim? - Minecraft,NEDEN Gerçekçi Ferited'in Evindeyim? - Minecraft,Ferited,UCKizsKkBBjuEoY_fgRx-4QQ,20,Gaming,"minecraft, minecraft videoları, minecraft animasyon, minecraft mod, türkçe minecraft, ferited, ferited son bölüm, ferited yeni video, ferited ailesi, maykıraft, ferited vs tarık, minecraft parodileri, feritet, zengin, fakir, zengin vs fakir, gerçekçi ferited, gerçekçi tarık, tarık",19,https://i.ytimg.com/vi/mJANoveyFQg/hqdefault.jpg,tr,tr,False,2070,PT34M30S,hd,False,True,False,False,375489,8071,1639
7T79pODpq74,TR,2026-03-30T03:48:53.930723+00:00,2026-03-27T21:41:13Z,Ta Ki Seni Görene Kadar (LapMusica),Ta Ki Seni Görene Kadar (LapMusica),KAVEANA - Topic,UCvgza7Sz47se17Sgq-LTOlQ,10,Music,"KAVEANA, Sıla Martin, Mert, Ta Ki Seni Görene Kadar (LapMusica)",4,https://i.ytimg.com/vi/7T79pODpq74/hqdefault.jpg,tr,tr,False,240,PT4M,hd,False,True,False,False,218312,1179,0
YnczpEoeaDM,TR,2026-03-30T03:48:53.930731+00:00,2026-03-28T11:00:42Z,"Elbaph Arc Official Trailer | April 5, 2026 | ONE PIECE","Elbaph Arc Official Trailer | April 5, 2026 | ONE PIECE",ONE PIECE Official - ENG,UCwz6BWiifRgjPIVE8QdNEHA,1,Film & Animation,"#ONEPIECE, #Elbaph, #Trailer, #Anime, #Luffy, #Loki, #strawhatcrew, #onepieceanime",8,https://i.ytimg.com/vi/YnczpEoeaDM/hqdefault.jpg,en-US,en,False,39,PT39S,hd,False,True,False,False,1259421,48677,2775
4qMtBY32hss,TR,2026-03-30T03:48:53.930740+00:00,2026-03-27T14:59:23Z,4 KARDEŞİN SANAYİ MACERASI | BÖLÜM 1,4 KARDEŞİN SANAYİ MACERASI | BÖLÜM 1,Elraenn,UC51-ljNFrvY5ZmV0C_61XcA,20,Gaming,"elraenn, elraenn sanayi oyunuı oynuyor, elraenn ekip ile sanayi dükkanı açıyor, sanayi, tamir, sanayici kardeşler bölüm 1, elraenn sanayicilik oyunu, araba servis simulasyonu, araba servisi, tamirci, 4 kardeşler sanayide, 4 kardeşlerin sanayi macerası bölüm 1",12,https://i.ytimg.com/vi/4qMtBY32hss/hqdefault.jpg,tr,tr,False,6691,PT1H51M31S,hd,False,True,False,False,993008,44437,2804
791Qe2oF-eY,TR,2026-03-30T03:48:53.930749+00:00,2026-03-23T09:04:35Z,Ömrüm,Ömrüm,Eypio - Topic,UC7xB-aD79YD7hHKs34knVLQ,10,Music,"Eypio, Abdurrahim Akça, Ömrüm",3,https://i.ytimg.com/vi/791Qe2oF-eY/hqdefault.jpg,tr,tr,False,175,PT2M55S,hd,False,True,False,False,3548366,28953,208
