video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
sQDBYHhCvps,TW,2026-07-16T03:48:40.432214+00:00,2026-07-10T12:59:56Z,黃奇斌 Ng KiPin - 綿綿無絕期 Never Ending｜Official Music Video,黃奇斌 Ng KiPin - 綿綿無絕期 Never Ending｜Official Music Video,黃奇斌 Ng KiPin,UCfeCq9kBtv6ULUPpfMuCp3A,22,People & Blogs,"黃奇斌, 阿斌, NgKiPin",3,https://i.ytimg.com/vi/sQDBYHhCvps/hqdefault.jpg,zh-Hant,zh-Hant,False,267,PT4M27S,hd,True,False,False,False,522614,11102,1001
x-HE-g5YwZE,TW,2026-07-16T03:48:40.432256+00:00,2026-07-10T14:31:59Z,功夫女足｜Kung Fu Soccer | Official Trailer | 正式预告片    ｜Coming to GSC starting 13 August 2026 ,功夫女足｜Kung Fu Soccer | Official Trailer | 正式预告片    ｜Coming to GSC starting 13 August 2026 ,GSCinemas,UCqFDleXHU9GCb_9JvTmjacQ,24,Entertainment,,0,https://i.ytimg.com/vi/x-HE-g5YwZE/hqdefault.jpg,zh,en-US,False,95,PT1M35S,hd,False,False,False,False,378283,2793,1308
5US3xYE1G0k,TW,2026-07-16T03:48:40.432268+00:00,2026-07-14T09:00:18Z,【500日生存】貧脊到建國！海上孤島超神斷崖地形，500天後被我改造成奇幻風格國家『Minecraft麥塊全字幕生存系列』,【500日生存】貧脊到建國！海上孤島超神斷崖地形，500天後被我改造成奇幻風格國家『Minecraft麥塊全字幕生存系列』,阿斯asu,UC31opT8RH0KAOTRPjyTJqQQ,20,Gaming,"minecraft, 我的世界, 當個創世神, 原味生存, 阿斯, 遊戲, 開放世界, マインクラフト, 紅月, Asu, 建築, 全字幕, 阿神, 原始生存, 遊玩紀錄, 教學, 生存日記, 生存的旅程, 始原生存, 舞秋風, 新手, 1.17, 1.16",23,https://i.ytimg.com/vi/5US3xYE1G0k/hqdefault.jpg,zh-Hant,zh,False,38364,PT10H39M24S,hd,True,True,False,False,528355,25404,2334
1ACWKET1BBs,TW,2026-07-16T03:48:40.432278+00:00,2026-07-13T16:02:58Z,The World Without You,The World Without You,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩) - Topic,UCcVii92kfoedo4LX9Gw97-w,10,Music,"WOLF(S) (Qiu Feng Ze, Nine Chen, Wayne Huang, Lai & Shou), 五坚情WOLF(S) (邱锋泽、陈零九、黄伟晋、赖晏驹、娄峻硕), 五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩), The World Without You, 当世界遗落你, 當世界遺落你",6,https://i.ytimg.com/vi/1ACWKET1BBs/hqdefault.jpg,en,,False,239,PT3M59S,hd,False,True,False,False,83856,1266,0
sCs4ZEhwyjA,TW,2026-07-16T03:48:40.432288+00:00,2026-07-13T13:00:22Z,【挖掘者】官方預告，10月1日（週四）大銀幕鉅獻,【挖掘者】官方預告，10月1日（週四）大銀幕鉅獻,華納兄弟台灣,UC8XIx0eSj0onoJXa2iG0Rmw,1,Film & Animation,"2026, 傳奇, 全新預告, 喜劇, 大銀幕鉅獻, 挖掘者, 湯姆克魯斯, 華納, 華納兄弟, 阿利安卓崗札雷伊納利圖",10,https://i.ytimg.com/vi/sCs4ZEhwyjA/hqdefault.jpg,zh-Hant,en-US,False,156,PT2M36S,hd,False,False,False,False,593676,1106,143
jgWOiIYtG0k,TW,2026-07-16T03:48:40.432297+00:00,2026-07-12T12:32:16Z,[中文] BLG vs HLE | MSI 2026 | Grand Final,[中文] BLG vs HLE | MSI 2026 | Grand Final,LoLEsportsTW ,UCYfC038eP_cm9WNo5Cv-tBg,20,Gaming,"LOL, League of Legend, PCS, lol, eSports, Southeast, Asia, moba, riot",9,https://i.ytimg.com/vi/jgWOiIYtG0k/hqdefault.jpg,zh-Hant,zh-TW,False,24545,PT6H49M5S,hd,False,True,False,False,1177306,4197,252
Lz24PqZkF2s,TW,2026-07-16T03:48:40.432305+00:00,2026-07-10T13:00:07Z,T.M.Revolution - HOT LIMIT / THE FIRST TAKE,T.M.Revolution - HOT LIMIT / THE FIRST TAKE,THE FIRST TAKE,UC9zY_E8mcAo_Oq772LEZq8Q,10,Music,"the first take, firsttake, ファーストテイク, ふぁーすとていく, 一発撮り, TFT, 音楽, 音楽番組, TMRevolution, HOTLIMIT",10,https://i.ytimg.com/vi/Lz24PqZkF2s/hqdefault.jpg,ja,ja,False,312,PT5M12S,hd,True,True,False,False,13078489,558131,35463
xSX2j72Urw8,TW,2026-07-16T03:48:40.432313+00:00,2026-07-10T04:00:01Z,65萬倒讚？諾蘭的《奧德賽》完了嗎？。EP328,65萬倒讚？諾蘭的《奧德賽》完了嗎？。EP328,歪。講堂 Y.Talkroom,UCgstGmtfQhk7EeY0xqPN7rQ,25,News & Politics,,0,https://i.ytimg.com/vi/xSX2j72Urw8/hqdefault.jpg,zh-TW,zh-Hant,False,686,PT11M26S,hd,False,True,False,False,78651,2342,772
rsWuS2mWagQ,TW,2026-07-16T03:48:40.432321+00:00,2026-07-15T19:33:14Z,League of Legends at EWC 26  -  Day 1  - Group Stage -  Stream A,League of Legends at EWC 26  -  Day 1  - Group Stage -  Stream A,Esports World Cup,UCENNtCRTPTdH_IGXs42LuHQ,20,Gaming,"ewc, esports world cup, ewc26, esportsworldcup, league of legends, gen.g esports, sentinels, karmine corp, movistar koi, gam esports, ag.al, jd gaming, t1, dplus kia, furia, g2 esports, team secret, lyon, mibr.los, bilibili gaming, hanwha life esports",21,https://i.ytimg.com/vi/rsWuS2mWagQ/hqdefault.jpg,en,en,False,39193,PT10H53M13S,hd,False,True,False,False,891916,4637,11
JebaOMAuIyw,TW,2026-07-16T03:48:40.432329+00:00,2026-07-13T09:00:07Z,SUPER JUNIOR-83z 슈퍼주니어-83z '너를 위한 약속 (Promise)' MV,SUPER JUNIOR-83z 슈퍼주니어-83z '너를 위한 약속 (Promise)' MV,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,10,Music,"슈퍼주니어, SUPER JUNIOR, 규현, 려욱, 동해, 은혁, 시원, 이특, 신동, KYUHYUN, RYEOWOOK, DONGHAE, EUNHYUK, SHINDONG, SIWON, LEETEUK, 엘프, ELF, E.L.F., 예성, yesung, 희철, HEECHUL, SUPER JUNIOR-83z, 슈퍼주니어-83z, 너를 위한 약속, Promise, MV",28,https://i.ytimg.com/vi/JebaOMAuIyw/hqdefault.jpg,ko,ko,False,222,PT3M42S,hd,True,True,False,False,271836,31512,3324
