video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
I7L9CyTocr8,TZ,2026-09-17T05:09:15.140293+00:00,2026-09-11T07:25:28Z,Chege & Mbosso - Ubaya (Official Music Video),Chege & Mbosso - Ubaya (Official Music Video),Chege Chigunda,UCJQoy260QVLziGRvbjfRc7A,10,Music,"Chege, Mbosso, Ubaya, Trending Music, Pop, Afropop, Swahili, Bongo Fleva, Ubaya Video, Kenya Music",10,https://i.ytimg.com/vi/I7L9CyTocr8/hqdefault.jpg,en,sw,False,228,PT3M48S,hd,False,True,False,False,828434,18046,957
pK_XsDOAy3w,TZ,2026-09-17T05:09:15.140337+00:00,2026-09-13T16:24:09Z,MONALISA 44 | TRAILER |#love #dontatv #penzilamtotowaboss,MONALISA 44 | TRAILER |#love #dontatv #penzilamtotowaboss,Donta Plus ,UCGSDkldGSK1gwAXxAtsQ6tg,24,Entertainment,,0,https://i.ytimg.com/vi/pK_XsDOAy3w/hqdefault.jpg,sw,sw,False,204,PT3M24S,hd,False,True,False,False,150296,4466,403
2HlFAceq_-E,TZ,2026-09-17T05:09:15.140349+00:00,2026-09-15T12:00:07Z,YANGA SC VS GEITA GOLD LIGI KUU BARA NBC PREMIER LEAGUE 26/27 eFOOTBALL PES 2021 GAMEPLAY HD,YANGA SC VS GEITA GOLD LIGI KUU BARA NBC PREMIER LEAGUE 26/27 eFOOTBALL PES 2021 GAMEPLAY HD,Ang Ted Gamer,UCdpEDuEr980W1RgWIiuRlPQ,20,Gaming,,0,https://i.ytimg.com/vi/2HlFAceq_-E/hqdefault.jpg,en,en,False,812,PT13M32S,hd,False,False,False,False,36865,33,2
Ppu3fzjZtZo,TZ,2026-09-17T05:09:15.140360+00:00,2026-09-03T21:35:00Z,Harmonize Ft Jay Melody - Imeshindikana (Official Visualizer),Harmonize Ft Jay Melody - Imeshindikana (Official Visualizer),Harmonize,UCwIKyl0V5Cb5WRTazrhg-2A,10,Music,"harmonize, harmonize new song, harmonize songs, konde boy, Harmonize Latest Songs, Harmonize Furaha, Harmonize Ft Rudeboy, Harmonize Friend Zone, mbosso ft harmonize, Harmonize - wewe, Harmonize - Yazoee, Harmonize Beautiful, Beautiful, Young Lunya, For no reason, Harmonize ft Young Lunya, Harmonize - For no reason, Harmonize - 31 Album, Young Lunya - For no reason, Imeshindikana, Jay Melody, Harmonize ft Jay Melody, Jay Melody - Imeshindikana, Harmonize - Imeshindikana",24,https://i.ytimg.com/vi/Ppu3fzjZtZo/hqdefault.jpg,en,sw,False,195,PT3M15S,hd,False,True,False,False,2245894,48078,2858
X1aFkAkFASk,TZ,2026-09-17T05:09:15.140370+00:00,2026-08-15T04:06:21Z,Avengers: Doomsday | Special Look | In Theaters December 18,Avengers: Doomsday | Special Look | In Theaters December 18,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/X1aFkAkFASk/hqdefault.jpg,en,en,False,130,PT2M10S,hd,True,True,False,False,42128841,1367552,61076
XDfXTrYDNh4,TZ,2026-09-17T05:09:15.140379+00:00,2026-09-15T13:00:21Z,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,GTA Octopus,UCTd0c2xY50ZCBxHmeomaVxw,24,Entertainment,,0,https://i.ytimg.com/vi/XDfXTrYDNh4/hqdefault.jpg,ar,ar,False,1296,PT21M36S,hd,False,True,False,False,665028,31345,2078
NKRJ_ilwcsE,TZ,2026-09-17T05:09:15.140388+00:00,2026-09-02T16:55:30Z,MwanaFA - Baraka Nyingi (Official Music Video),MwanaFA - Baraka Nyingi (Official Music Video),MwanaFA,UClFNcoSQDylBqTD-TREaWpQ,10,Music,"MwanaFA, Baraka Nyingi, Trending Music, Baraka, Nyingi",5,https://i.ytimg.com/vi/NKRJ_ilwcsE/hqdefault.jpg,en,en,False,191,PT3M11S,hd,False,True,False,False,2080505,13697,882
kMi6ICNEjQY,TZ,2026-09-17T05:09:15.140397+00:00,2026-09-14T21:01:37Z,🔴 GTA 5 LIVE – DON’T BLINK! SECRET MOD ACTIVATED 🤯 #gtalive #gtaonline,🔴 GTA 5 LIVE – DON’T BLINK! SECRET MOD ACTIVATED 🤯 #gtalive #gtaonline,NeXTGenGaming,UCUR7LBRmHhevF72XkJqrZAw,20,Gaming,,0,https://i.ytimg.com/vi/kMi6ICNEjQY/hqdefault.jpg,en,en,False,6786,PT1H53M6S,hd,False,True,False,False,925192,1109,2
pSgLF_pvfJ0,TZ,2026-09-17T05:09:15.140407+00:00,2026-09-03T21:15:40Z,Alikiba - HATER (Official Visualizer),Alikiba - HATER (Official Visualizer),Alikiba,UCSlyAXLzVNfsh3geYD9Cc4A,10,Music,"Alikiba, Hater, New Music Alikiba, Trending Music, Swahili Music, Bongo Fleva, Afropop, Pop, Kenya Music, Tanzania Music, Hater Video, Kingkiba, Kings Music",13,https://i.ytimg.com/vi/pSgLF_pvfJ0/hqdefault.jpg,fr,en,False,170,PT2M50S,hd,False,True,False,False,1532741,25128,3351
tmQoU_Is1kQ,TZ,2026-09-17T05:09:15.140417+00:00,2026-09-13T19:29:10Z,⚽ Manchester United 0-1 Manchester City [HIGHLIGHTS] Premier League 26/27 ✅| Simulation/Recreation,⚽ Manchester United 0-1 Manchester City [HIGHLIGHTS] Premier League 26/27 ✅| Simulation/Recreation,十Loork Football,UCfFNw7MaO7QmWkswaGFGEvA,20,Gaming,"Manchester United vs Manchester City, Manchester United vs Manchester City 26/27, Manchester United, Manchester City, Premier League 26/27, Manchester United vs, Manchester City vs, eFootball 2026 Simulation, Football Recreations, English Premier League, Football Video Games, Football Simulation, Football Match, HIGHLIGHTS",14,https://i.ytimg.com/vi/tmQoU_Is1kQ/hqdefault.jpg,en,en,False,208,PT3M28S,hd,False,True,False,False,280074,1249,1
