video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Nkwuiw8-w74,UA,2026-05-06T04:14:09.444043+00:00,2026-04-30T06:01:01Z,DOROFEEVA - FEEL THE HEAT (Official Music Video),DOROFEEVA - FEEL THE HEAT (Official Music Video),DOROFEEVA,UCVAbBvins_GOfl0O7FegnGQ,10,Music,"DOROFEEVA - FEEL THE HEAT, DOROFEEVA, FEEL THE HEAT, DOROFEEVA - Хартбіт, смак печаль, DOROFEEVA - вотсап, Надя Дорофеева, music, new music, music video, пісні, пісня, время и стекло dorofeeva, хіти, музика, dorofeeva, дорофеева, музика 2026, новинки музики, music from ukraine, Ukrainian music, Время и Стекло, official music video, pop music, dance music, club music, music 2026, dance music 2026",28,https://i.ytimg.com/vi/Nkwuiw8-w74/hqdefault.jpg,en,en,False,151,PT2M31S,hd,False,True,False,False,328677,11910,987
gJBPdqsUrLs,UA,2026-05-06T04:14:09.444083+00:00,2026-05-02T09:00:55Z,БЫВШИЙ МЕНТ ПОПАДАЕТ В ЗАПАДНЮ | ОСТРОСЮЖЕТНЫЙ ТРИЛЛЕР | ВСЕ СЕРИИ,БЫВШИЙ МЕНТ ПОПАДАЕТ В ЗАПАДНЮ | ОСТРОСЮЖЕТНЫЙ ТРИЛЛЕР | ВСЕ СЕРИИ,Лучшие детективы,UC-HaH-PHzVVw9g-mn8mroBQ,22,People & Blogs,"премьера, русские детективы, детективы новинки, детективная мелодрама, русские сериалы, русские фильмы, смотреть онлайн, все серии подряд, детектив, в хорошем качестве, russkie detektivi, детективы русские, русские мелодрамы, мелодрама, Пятый канал, кино смотреть онлайн, пятый канал, лучшие детективы, криминальные сериалы 2025, мелодрамы 2025, сериалы на нтв 2025, детективы 2025, русские сериалы 2025, канал лучшие детективы",24,https://i.ytimg.com/vi/gJBPdqsUrLs/hqdefault.jpg,ru,ru,False,10139,PT2H48M59S,hd,False,True,False,False,330733,1284,101
kFmH5xZ5-vo,UA,2026-05-06T04:14:09.444094+00:00,2026-05-03T12:49:37Z,"""СКАЛА БОГА""! 1000 дней на АЗИИ в РАСТ RUST","""СКАЛА БОГА""! 1000 дней на АЗИИ в РАСТ RUST",ДЕРЖИ ДВЕРЬ,UC8QOXu4R4qkbn-YkdaL520A,20,Gaming,"rust, раст, кгые, hfcn, держи дверь, кава, раст рейд, rust raid, кланы, рейд, раст rust, rust выживание, выживание в rust, выживание, rust рейд, видео по rust, раст выживание, антирейд, rust антирейд, rust начало, rust pvp, rust survival, rust movie, скалабога, азия, скала, китайцы, скала бога, скала раст",29,https://i.ytimg.com/vi/kFmH5xZ5-vo/hqdefault.jpg,ru,ru,False,10909,PT3H1M49S,hd,False,True,False,False,1714460,65139,6860
1bXTyD7gRuE,UA,2026-05-06T04:14:09.444102+00:00,2026-04-24T07:00:02Z,Нікіта Кісельов - ВІВТАР,Нікіта Кісельов - ВІВТАР,НІКІТА КІСЕЛЬОВ,UCrMe8zgbGH357ViisqpQe5w,10,Music,"Нікіта Кісельов, Никита Киселев, Nikita Kiselov, вівтар, VIVTAR, Нікіта Кісельов Вівтар, FIINKA, Степан Гіга, українська музика 2026, нова українська музика, українські хіти 2026, Alyona Alyona, Jerry Heil, KOLA, Wellboy, DOROFEEVA, MONATIK, Max Barskih, Tina Karol, NK
Skofka, Kalush Orchestra, YAKTAK, TVORCHI, Go_A, The Hardkiss, Antytila, Okean Elzy, SHUMEI, BURLA, Tember Blanche, SadSvit, Latexfauna, Pivovarov, Alina Pash, MELOVIN, CHEEV, Альона Омаргалієва",37,https://i.ytimg.com/vi/1bXTyD7gRuE/hqdefault.jpg,uk,uk,False,267,PT4M27S,hd,False,True,False,False,1742683,24170,1454
f_bKjZeJBBI,UA,2026-05-06T04:14:09.444110+00:00,2026-05-05T04:10:02Z,The Odyssey | Official New Trailer,The Odyssey | Official New Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/f_bKjZeJBBI/hqdefault.jpg,en-US,en-US,False,152,PT2M32S,hd,True,True,False,False,6496355,235675,15094
RsMbiufISvA,UA,2026-05-06T04:14:09.444117+00:00,2026-05-02T12:36:01Z,Мы с Хейтершей ПОМИРИЛИСЬ?,Мы с Хейтершей ПОМИРИЛИСЬ?,Domer Grief,UCb5oqCZ4AfmfXbgHsfei0tQ,20,Gaming,"Домер, домер гриф, Domer, Domer Grief, Minecraft, майнкрафт, рили ворлд, really world, выживание в Майнкрафт, майнкрафт хардкор, Майнкрафт без доната, хейтерша, хейтерша Алина, хейтерша домера, выживание майнкрафт, анархия Майнкрафт, троллинг Майнкрафт, ловушки Майнкрафт, выживание Джамшута, с игрока до бога, домер выживание, анархия майнкрафт, домер выживание без доната, девочка в Майнкрафт, рилик, девушка Хейтер, Майн, хардкор, Зени, smp Minecraft, мем, Мы с Хейтершей ПОМИРИЛИСЬ?",32,https://i.ytimg.com/vi/RsMbiufISvA/hqdefault.jpg,ru,ru,False,1612,PT26M52S,hd,False,True,False,False,1371183,129627,14159
g4ZiU2OvJCA,UA,2026-05-06T04:14:09.444124+00:00,2026-04-29T07:48:02Z,Iceman-IM - Танцюй для мене ,Iceman-IM - Танцюй для мене ,Iceman-IM,UCc4ZIlAegOys8bRNNB8T_Rw,10,Music,"Танцюй для мене моя мадам, українська музика, українські пісні, хіти, 2026, 2025, музика для душі, музика в машину, гуляй, танцюй в клубі там, Iceman-IM",11,https://i.ytimg.com/vi/g4ZiU2OvJCA/hqdefault.jpg,uk,uk,False,219,PT3M39S,hd,False,True,False,False,122198,254,2
T2MP_T2e-aU,UA,2026-05-06T04:14:09.444131+00:00,2026-05-05T14:55:06Z,UFC 6 Official Reveal Trailer,UFC 6 Official Reveal Trailer,EA SPORTS UFC,UC86X0tzvfk12eAG9JYMp99w,20,Gaming,"UFC 6, UFC game, UFC 6 reveal, UFC 6 trailer, EA SPORTS UFC, Max Holloway, Alex Pereira, UFC trailer, MMA game, fighting game, UFC reveal trailer, EA SPORTS UFC 6, UFC, new UFC game, UFC game 2026, UFC 6 reveal trailer, UFC 6 official reveal, UFC 6 official reveal trailer, EA UFC 6, UFC 6 game, UFC 6 gameplay, UFC gameplay, UFC 6 official",23,https://i.ytimg.com/vi/T2MP_T2e-aU/hqdefault.jpg,en,en,False,141,PT2M21S,hd,False,False,False,False,379684,23035,4541
t9NI7Na_7CU,UA,2026-05-06T04:14:09.444137+00:00,2026-05-02T10:42:17Z,СДЕЛАЙ КРИНЖОВЫЙ ВЫБОР!😳 Я ОШИБСЯ! МАЙНКРАФТ,СДЕЛАЙ КРИНЖОВЫЙ ВЫБОР!😳 Я ОШИБСЯ! МАЙНКРАФТ,ВЛАДУС,UCPG6OP7eL7kLuyFpQMdqYSA,20,Gaming,"Владус, Vladus, майнкрафт, minecraft, майнкрафт история, майнкрафт сюжет, необычный майнкрафт, майнкрафт приключения, майнкрафт испытание, владус майнкрафт, леня майнкрафт, владус и леня, владус и лёня",13,https://i.ytimg.com/vi/t9NI7Na_7CU/hqdefault.jpg,ru,ru,False,997,PT16M37S,hd,True,True,False,False,931090,19353,1739
HRjAfXOWJO4,UA,2026-05-06T04:14:09.444143+00:00,2026-04-29T17:59:08Z,amore amore,amore amore,Вільний вітер - Topic,UCIN7qhLnB-iQwiYp50IUP4Q,10,Music,"Вільний вітер, Arianna, Petro Fed, amore amore",4,https://i.ytimg.com/vi/HRjAfXOWJO4/hqdefault.jpg,en,uk,False,315,PT5M15S,hd,False,True,False,False,118772,807,0
