video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Ewu7Z1Gz9ac,UY,2026-01-01 02:42:47.693895+00:00,2025-12-31 01:29:17+00:00,"MEGA MIX CUMBIA DE INTERIOR PARA ESTAS FIESTAS 2026 -HEREDEROS,LAPENULTIMA,SOY TU SOL,FEDE...","MEGA MIX CUMBIA DE INTERIOR PARA ESTAS FIESTAS 2026 -HEREDEROS,LAPENULTIMA,SOY TU SOL,FEDE...",luchodj music - Topic,UCs7op2hfRt4N0JCg4T14ZGw,10,Music,"luchodj music, LUCHODJ, MEGA MIX CUMBIA DE INTERIOR PARA ESTAS FIESTAS 2026 -HEREDEROS,LAPENULTIMA,SOY TU SOL,FEDE ROJAS ETC",3,https://i.ytimg.com/vi/Ewu7Z1Gz9ac/hqdefault.jpg,es,es,False,768,PT12M48S,hd,False,True,,,7580,105,0
HjHJSbAoTTw,UY,2026-01-01 02:42:47.693932+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Tráiler de la final | Netflix,Stranger Things 5 | Tráiler de la final | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Hop, Jamie Campbell Bower, Jim Hopper, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Once, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things, Stranger Things 5, Will Byers, Winona Ryder, final",31,https://i.ytimg.com/vi/HjHJSbAoTTw/hqdefault.jpg,es,en-US,False,99,PT1M39S,hd,False,False,,,1101898,42434,3604
AQV57WKsRb4,UY,2026-01-01 02:42:47.693944+00:00,2025-12-30 17:02:26+00:00,Mi Nueva Vida en Minecraft Pokemon,Mi Nueva Vida en Minecraft Pokemon,Rubius Z,UCcjIvuxmWlS5IEQ0JdPV4Ng,20,Gaming,"elrubius, rubius, minecraft, pokemon, serie, minecraft pokemon, pokemon mod minecraft, mod, Rubius pokemon, cobbleverse, Cobbleverse rubius, minecraft survival, minecraft con pokemons, gameplay, mods, capitulo 1, ep1, pikachu, gyarados, Eevee, rubius pokemon mod, Pokémon, shiny, 2026, nuevo, nueva, nueva serie, capitulo, meme, memes",30,https://i.ytimg.com/vi/AQV57WKsRb4/hqdefault.jpg,es,es,False,4008,PT1H6M48S,hd,False,True,,,2344078,135666,3841
9pwjk6hXPdg,UY,2026-01-01 02:42:47.693954+00:00,2025-12-31 16:00:07+00:00,"El Reja, Los Fatales - Agua De Coco (Video Oficial) | Session Cassete #1","El Reja, Los Fatales - Agua De Coco (Video Oficial) | Session Cassete #1",ElReja,UCPR1lDo3eMoiw_jhYDy89bQ,10,Music,"el reja para no verte mas, el reja loco un poco, el reja, el reja 2024, el reja pasos al costados, el reja y la fase buk mala, verano maldito, maldito verano, fueguito el reja, fueguito ruben rada, agustina giovio, El Reja, quiero volver mariano bermudez, quiero volver el reja, Los Fatales - Agua De Coco (Video Oficial), el reja los fatales, el reja agua de coco, agua de coco los faltales, el reja fata delgado, el reja fata delgado agus de coco",20,https://i.ytimg.com/vi/9pwjk6hXPdg/hqdefault.jpg,es,es,False,127,PT2M7S,hd,False,True,,,21607,349,16
XmiHXVAFDa0,UY,2026-01-01 02:42:47.693962+00:00,2025-12-28 18:46:06+00:00,Se filtra nuevo trailer de X-Men: Avengers Doomsday - The Top Comics,Se filtra nuevo trailer de X-Men: Avengers Doomsday - The Top Comics,The Top Comics,UCiBwOVBljEjcsLUjwI274Xw,1,Film & Animation,"Marvel studios, capitán américa, thor, filtrado, top comic, magneto, ian mckellen, patrick stewart, wolverine, logan, hugh jackman, secret wars, avengers, vengadores, avengers secret wars",15,https://i.ytimg.com/vi/XmiHXVAFDa0/hqdefault.jpg,es-419,es-419,False,823,PT13M43S,hd,False,True,,,389055,15496,608
vqWDhkoIT2w,UY,2026-01-01 02:42:47.693971+00:00,2025-12-31 19:47:35+00:00,AHORA! 🎉🥳 ULTIMO ADMIN ABUSE😭 DEL AÑO📅 +30 SECRETAS A MAQUINA🎅🏻 | EN VIVO🔴,AHORA! 🎉🥳 ULTIMO ADMIN ABUSE😭 DEL AÑO📅 +30 SECRETAS A MAQUINA🎅🏻 | EN VIVO🔴,Jugando Con Nachito,UCRL58NXz2qSX2vkbSBxDN2Q,20,Gaming,,0,https://i.ytimg.com/vi/vqWDhkoIT2w/hqdefault.jpg,es,es-419,False,12892,PT3H34M52S,hd,False,True,,,1475916,19402,199
t_QM2ZU_l70,UY,2026-01-01 02:42:47.693979+00:00,2025-12-31 23:00:06+00:00,"PA BAILAR- Chévere El Negrón, Juanjo Morgade FT Lucas Bunnker","PA BAILAR- Chévere El Negrón, Juanjo Morgade FT Lucas Bunnker",Bunnker,UCvG-fQVAYlmyyIuwm5rccEw,10,Music,"a lo baraja, bunnker recordz, mesita, negrito kevin, negrito, pierre, lucas bunnker, la nueva escuela, luana, mmg, nes play, marka akme, tlp, the la planta, la casa de la cumbia, baraja de mierda, esa minita, minina, vermelho, plena, enganchados plena, Negro Kevin, Kevin negro, Tendencia, A lo baraja bajo pal calenton, Mix, juanjo morgade, pushi, tendencia, asignatura pendiente",30,https://i.ytimg.com/vi/t_QM2ZU_l70/hqdefault.jpg,es,es-419,False,120,PT2M,hd,False,True,,,2153,292,60
HPXws9donAM,UY,2026-01-01 02:42:47.693987+00:00,2025-12-27 17:00:34+00:00,TERCER trailer Avengers Doomsday con X MEN! Doctor Doom cambiado por 4 Fantásticos y más,TERCER trailer Avengers Doomsday con X MEN! Doctor Doom cambiado por 4 Fantásticos y más,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/HPXws9donAM/hqdefault.jpg,es,es-419,False,902,PT15M2S,hd,False,True,,,410249,18801,758
2sZwDD6XY4c,UY,2026-01-01 02:42:47.693994+00:00,2025-12-31 15:00:11+00:00,TERRORIFICA HISTORIA REAL | Tales Beyond The Tomb - The Farm's Secret,TERRORIFICA HISTORIA REAL | Tales Beyond The Tomb - The Farm's Secret,Iker Unzu,UCQW8tWGYajwUv6jdQ2kmsRw,20,Gaming,"iker unzu, iker tiktok, iker unzu tiktok, iker, comedia, sketches de comedia, iker comedia, Tales Beyond The Tomb, Tales Beyond The Tomb - The Farm's Secret, Historial Real, Hechos reales, Asesino",12,https://i.ytimg.com/vi/2sZwDD6XY4c/hqdefault.jpg,es,es,False,2569,PT42M49S,hd,False,True,,,273709,14777,3074
8EIqNkGXzmo,UY,2026-01-01 02:42:47.694002+00:00,2025-12-23 23:00:06+00:00,"La Nueva Escuela, Alan Gomez - Dopamina (Visualizer) | DDET","La Nueva Escuela, Alan Gomez - Dopamina (Visualizer) | DDET",Montevideo Music Group,UCKJTZ-XqjoGz8hwwq1vz7WQ,10,Music,"la nueva escuela, se me olvida empelotica, la dosis la nueva escuela, si te pillara, si te pillara la nueva escuela, la deskarga la nueva escuela, la dosis si te pillara, beele en plena, La Nueva Escuela, ia la nueva escuela la dosis, ia version plena, la nueva escuela directamente desde el tanque, Alan Gomez - Dopamina (Visualizer) | DDET, la nueva escuela dopamina, dopamina la nueva escuela alan gomez, la nueva escuela alan gomez, alan gomez dopamina",17,https://i.ytimg.com/vi/8EIqNkGXzmo/hqdefault.jpg,es-419,es-419,False,177,PT2M57S,hd,False,True,,,79299,259,4
