video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
W87hgMmWxeE,VE,2026-03-24T03:20:00.389856+00:00,2026-03-23T02:22:31Z,Romeo Santos - Imitadora (Letra/Lyrics),Romeo Santos - Imitadora (Letra/Lyrics),Vibe Music,UChO8h2G8UjOVc081rgYU8XQ,10,Music,"Romeo Santos Imitadora, Imitadora Romeo Santos, Esta noche me hago el interrogante, Y le pongo fin a la impostora usurpadora, Exijo contigo una entrevista, Sospecho plagio a mi señora mala imitadora, Dime tengo unas preguntas, Dónde fue bajo la lluvia que te di ese primer beso, Dime también relátame el momento, Número de alojamiento donde yo te hice mujer, Confírmame, Imitadora, imitadora romeo santos, romeo santos imitadora, imitadora, romeo santos, Romeo Santos, Vibe Music, letra",19,https://i.ytimg.com/vi/W87hgMmWxeE/hqdefault.jpg,es,es,False,236,PT3M56S,hd,False,True,False,False,66754,280,12
ztO4Bk0ALGI,VE,2026-03-24T03:20:00.389899+00:00,2026-03-23T22:01:10Z,JUJUTSU KAISEN Sendai Colony | Official Trailer | Crunchyroll,JUJUTSU KAISEN Sendai Colony | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, jujutsu kaisen sendai colony, jjk sendai colony, crunchyroll, anime, anime pv, anime trailer, sendai colony, sendai colony trailer, sendai colony teaser, sendai colony trailer reaction, sendai colony jjk, sendai colony jjk trailer, sendai colony animation",20,https://i.ytimg.com/vi/ztO4Bk0ALGI/hqdefault.jpg,en,ja,False,56,PT56S,hd,True,True,False,False,424974,34285,1349
0N9RIHHvcKU,VE,2026-03-24T03:20:00.389912+00:00,2026-03-23T22:18:15Z,Nos Convertimos en SIREN HEADS Gigantes en Minecraft...,Nos Convertimos en SIREN HEADS Gigantes en Minecraft...,Nacho,UC8EkcHOycB94lHDkbAPSnQA,20,Gaming,"nacho, dagar, nacho minecraft, dagar y nacho, nacho y dagar, minecraft, minecraft mod, dagar minecraft, lia, lia minecraft, lia y dagar, lia y nacho, siren head, sirenhead, siren minecraft, siren head minecraft, creepypasta, creepypasta minecraft, siren head troll, trolleo a mis amigos, me converti en siren head, nos convertimos en siren head, nacho y dagar sirenhead, dagar sirenhead, dagar siren head, nacho siren head",26,https://i.ytimg.com/vi/0N9RIHHvcKU/hqdefault.jpg,es,es,False,1190,PT19M50S,hd,False,True,False,False,297321,5669,385
D855MtiCYF4,VE,2026-03-24T03:20:00.389923+00:00,2026-03-18T12:30:18Z,"Alleh, Yorghaki - capaz (merengueton) (Letra/Lyrics)","Alleh, Yorghaki - capaz (merengueton) (Letra/Lyrics)",ourmemoriestonight,UCZCmb5a8LE9LMxW9I3-BFjA,10,Music,"ourmemoriestonight, Alleh Yorghaki capaz lyrics, capaz letra, capaz merengueton lyrics, capaz Alleh Yorghaki letra, capaz song lyrics, capaz merengueton letra, Alleh Yorghaki capaz letra lyrics, capaz tiktok song, capaz merengueton tiktok, capaz viral song, capaz lyrics video, capaz spanish song lyrics, capaz latin song lyrics, capaz merengueton 2026, capaz lyric video, capaz letra español, capaz english lyrics, capaz remix merengueton, Alleh capaz lyrics",20,https://i.ytimg.com/vi/D855MtiCYF4/hqdefault.jpg,es,es,False,184,PT3M4S,hd,False,True,False,False,60789,54,0
kwT9_sUBdKM,VE,2026-03-24T03:20:00.389931+00:00,2026-03-23T20:15:06Z,Bite By Night - Official Trailer,Bite By Night - Official Trailer,OzelBlox,UC4v06_K5srl0eTcrOZdrfAA,20,Gaming,,0,https://i.ytimg.com/vi/kwT9_sUBdKM/hqdefault.jpg,en,en,False,154,PT2M34S,hd,False,True,False,False,190781,25843,3070
RNDOE7STCYM,VE,2026-03-24T03:20:00.389939+00:00,2026-03-23T21:00:06Z,ABRAHAHAM ME DEDICA ESTA PARTIDA DE FREE FIRE ❤️ !! - TheDonato,ABRAHAHAM ME DEDICA ESTA PARTIDA DE FREE FIRE ❤️ !! - TheDonato,TheDonato,UCaHEdZtk6k7SVP-umnzifmQ,20,Gaming,,0,https://i.ytimg.com/vi/RNDOE7STCYM/hqdefault.jpg,es,es,False,1547,PT25M47S,hd,False,True,False,False,363368,20458,522
8OcFY_E-vTc,VE,2026-03-24T03:20:00.389947+00:00,2026-03-17T23:00:09Z,"Prince Royce, Romeo Santos - DARDOS (Letra) ""Ámame, solo un CC por lo menos""","Prince Royce, Romeo Santos - DARDOS (Letra) ""Ámame, solo un CC por lo menos""",Melodix,UC39c6lyW91RaT5CJipWY8xQ,10,Music,"Música romántica, Canciones de amor, Baladas románticas, Éxitos románticos, Música para dedicar, Baladas de amor, Canciones románticas en español, Música para parejas, Música de amor, Música tranquila, Canciones de desamor, Baladas clásicas, Romantic music, Love songs, Romantic ballads, Music for lovers, Romantic hits, Music to dedicate, Love ballads, Romantic songs in Spanish, Music for couples, Love music, Songs to fall in love, Relaxing music",24,https://i.ytimg.com/vi/8OcFY_E-vTc/hqdefault.jpg,es,es,False,244,PT4M4S,hd,False,True,False,False,136670,310,6
kXsoZTvAyBM,VE,2026-03-24T03:20:00.389956+00:00,2026-03-23T22:17:49Z,"SUPER MARIO FUNADO, SONIC JUNTO A LOS OSITOS CARIÑOSITOS, MOANA TRAILER","SUPER MARIO FUNADO, SONIC JUNTO A LOS OSITOS CARIÑOSITOS, MOANA TRAILER",DOCTOR RANDOM,UCIkAuhDBNyKeLDxR5a76fRA,22,People & Blogs,"super mario, funado, sonic, moana, trailer",5,https://i.ytimg.com/vi/kXsoZTvAyBM/hqdefault.jpg,es,es,False,124,PT2M4S,hd,False,True,False,False,12486,1076,135
ARdQvwJP47I,VE,2026-03-24T03:20:00.389992+00:00,2026-03-22T19:04:24Z,Adoptado por FAMILIA DE SUPERHEROES en Minecraft!,Adoptado por FAMILIA DE SUPERHEROES en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/ARdQvwJP47I/hqdefault.jpg,es,es,False,1467,PT24M27S,hd,False,True,False,False,1042389,12266,571
rSf-6Ye8Irc,VE,2026-03-24T03:20:00.390010+00:00,2026-03-22T17:01:10Z,Yandel - Nunca Me Olvides [LETRA],Yandel - Nunca Me Olvides [LETRA],Rebel Trap,UCUI13PAB6yoNgIQ6x39IflA,10,Music,"nunca me olvides, yandel nunca me olvides, nunca me olvides yandel, nunca me olvides letra, letra nunca me olvides, yandel nunca me olvides letra, letra nunca me olvides yandel, nunca me olvides yandel letra, nunca me olvides lyrics, yandel letra nunca me olvides, yandel music, yandel song, tiktok song, letra nunca me olvide, reggaeton nation, la leyenda, yandel letra nunace me olvides, yandel nuca me olvides letras, lyrics nunca me olvides, nunca me olvides yandel lyrics",20,https://i.ytimg.com/vi/rSf-6Ye8Irc/hqdefault.jpg,es,es,False,244,PT4M4S,hd,False,True,False,False,61226,116,1
