video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
wHwRdqJ3TD4,VN,2026-04-29T04:10:34.814439+00:00,2026-04-22T15:03:09Z,HIEUTHUHAI - Dạo Gần Đây Anh Thấy Anh Không Bằng Ai Hết (prod. by Kewtiie) | Official Lyric Video,HIEUTHUHAI - Dạo Gần Đây Anh Thấy Anh Không Bằng Ai Hết (prod. by Kewtiie) | Official Lyric Video,HIEUTHUHAI,UCe8b9jSSD-bNabF4hkNN5PQ,10,Music,"hieuthuhai, hieuthuhai mv, mv hieuthuhai, album hieuthuhai, hieuthuhai album, hieuthuhai người im lặng gặp người hay nói, mắt nhắm mắt mở hieuthuhai, mắt nhắm mắt mở, mắt nhắm mắt mở album, hieuthuhai mắt nhắm mắt mở, mv mắt nhắm mắt mở, album mắt nhắm mắt mở, mắt nhắm mắt mở full album, dạo gần đây anh thấy anh không bằng ai hết, dạo gần đây anh thấy anh ko bằng ai hết hieuthuhai, dạo gần đây anh thấy hieuthuhai, dạo gần đây hieuthuhai, dao gan day anh thay anh ko bang ai het",18,https://i.ytimg.com/vi/wHwRdqJ3TD4/hqdefault.jpg,vi,vi,False,205,PT3M25S,hd,False,True,False,False,1568081,31274,3208
SWMzBOOOqSQ,VN,2026-04-29T04:10:34.814475+00:00,2026-04-27T02:31:47Z,[Trailer] Giới thiệu phim BÓNG MA HẠNH PHÚC - Tuần 7 | Khi chiếc mặt nạ ngây thơ bị bóc trần...,[Trailer] Giới thiệu phim BÓNG MA HẠNH PHÚC - Tuần 7 | Khi chiếc mặt nạ ngây thơ bị bóc trần...,THVL Phim,UCrS7tv883mVqv07HKgVuwAA,1,Film & Animation,"bóng ma hạnh phúc, bóng ma hạnh phúc trailer, phim bóng ma hạnh phúc, phim truyền hình việt nam, phim truyền hình 2026, phim truyền hình việt nam 2026, phim truyền hình hay nhất 2026, phim truyền hình mới nhất 2026, phim truyền hình hot nhất, phim truyền hình hot nhất 2026, phim truyền hình việt nam hot nhất 2026, phim truyền hình đặc sắc, phim truyền hình đặc sắc nhất 2026, phim truyện việt nam, phim truyện việt nam 2026, phim việt nam thvl, phim thvl, phim hot thvl, trailer",19,https://i.ytimg.com/vi/SWMzBOOOqSQ/hqdefault.jpg,vi,vi,False,57,PT57S,hd,False,True,False,False,301314,814,94
vKYIJoCyTXE,VN,2026-04-29T04:10:34.814487+00:00,2026-04-26T17:06:59Z,FPT x FLASH vs SAIGON PHANTOM | PLAYOFF 2 | ĐTDV MÙA XUÂN 2026,FPT x FLASH vs SAIGON PHANTOM | PLAYOFF 2 | ĐTDV MÙA XUÂN 2026,Liên Quân Mobile eSports-Garena,UCpnQwjzvDm1MOMtZV2zkVpA,20,Gaming,"garena liên quân, liên quân mobile, liên quân, arena of valor, đấu trường danh vọng, garena liên quân mobile, aov, giai dau lien quan, giải liên quân, esports, dau truong danh vong, liên quân esports, giải đấu, aog, cao thu lien quan, gam, ts, box, gam vs ts, fpl, truc tiep lien quan, lcp, trực tiếp gam, gam esports, GAM, GAM LIÊN QUÂN, 1S, Gam liên quân, Flash, SGP, 1S liên quân, playoffs 1S, Onestar, 1s liên quân, 1s playoff, Han, vòng loại liên quân",37,https://i.ytimg.com/vi/vKYIJoCyTXE/hqdefault.jpg,vi,vi,False,17485,PT4H51M25S,hd,False,False,False,False,1951973,11029,103
U6BDbXIah-Y,VN,2026-04-29T04:10:34.814498+00:00,2026-04-20T08:58:06Z,CORTIS (코르티스) 'REDRED' Official MV,CORTIS (코르티스) 'REDRED' Official MV,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",4,https://i.ytimg.com/vi/U6BDbXIah-Y/hqdefault.jpg,ko,ko,False,209,PT3M29S,hd,True,True,False,False,7313111,772634,57729
V_p3qpDUuz4,VN,2026-04-29T04:10:34.814506+00:00,2026-04-08T10:44:58Z,HEO 5 MÓNG TRAILER - KC: 24.04.2026,HEO 5 MÓNG TRAILER - KC: 24.04.2026,CGV Cinemas Vietnam,UCu9QjEfQFbO4-x5toCFACrA,1,Film & Animation,"cgv, cgv cinema, cgv cinemas vietnam, phim, trailer phim, trailer phim moi, phim moi, phim hay, phim hanh dong, phim kinh di, review phim, phan tich phim, trailer mới, phim chiếu rạp, phim viet, phim hoat hinh, phim thieu nhi",17,https://i.ytimg.com/vi/V_p3qpDUuz4/hqdefault.jpg,vi,vi,False,145,PT2M25S,hd,False,False,False,False,158741,482,59
AQNVTyIu9_w,VN,2026-04-29T04:10:34.814514+00:00,2026-04-26T11:44:46Z,Vì Sao Tô Gà Bị Cách Ly Khỏi Làng Sinh Tố?,Vì Sao Tô Gà Bị Cách Ly Khỏi Làng Sinh Tố?,Toga TV,UCDhxPj5HsdH-jn7rUx6A2yg,20,Gaming,"tô gà, tô gà tv, tô gà sinh tố, sinh tố team, biệt đội sinh tố, gia đình, minecraft, minecraft pe, mcpe, hihachobi, yummie, nabee, huynoob, jackvn, HUGGY, huggy wuggy, puppy playtime, toga tv, tô gà thử thách 24h, thử thách 24h tô gà, tô gà thử thách, nếu tô gà, toga, togatv, Vì Sao Tô Gà Bị Cách Ly Khỏi Làng Sinh Tố?, tô gà bị cách ly, tô gà bị, tô gà cách ly, tô gà bị bỏ rơi, tô gà buồn, tô gà 1 mình, tô gà cô đơn, tô gà bị xa lánh, tô gà bị mọi người ghét",34,https://i.ytimg.com/vi/AQNVTyIu9_w/hqdefault.jpg,vi,vi,False,956,PT15M56S,hd,False,True,False,False,823955,3620,216
LBboiCv3Rlg,VN,2026-04-29T04:10:34.814522+00:00,2026-04-24T10:34:41Z,Liên Khúc Ca Nhạc Trữ Tình Bolero HAY NHẤT HIỆN NAY CỰC ÊM TAI - LK Nhạc Vàng Xưa Dễ Nghe Dễ Ngủ,Liên Khúc Ca Nhạc Trữ Tình Bolero HAY NHẤT HIỆN NAY CỰC ÊM TAI - LK Nhạc Vàng Xưa Dễ Nghe Dễ Ngủ,Vua Bolero,UClcDtH7Qq--bSoxjhiScxdA,10,Music,"Lk Bolero, Bolero Nghe Dễ Ngủ, Lk Bolero Dễ Ngủ, Bolero Dễ Ngủ, Nhạc Trữ Tình Hay Nhất, Bolero Trữ Tình, Bolero Không Quảng Cáo, Bolero Ngủ, Nhạc Trữ Tình, Nhạc Ngủ Ngon, Dễ Nghe Dễ Ngủ, Bolero Dễ Ngủ Hay Nhất, Bolero Ngủ Ngon, KHÔNG QUẢNG CÁO, Nhạc Sến Hay Nhất, Nhạc Vàng Hải Ngoại, Nhạc Vàng Chọn Lọc, Bolero Hải Ngoại, Trữ Tình Hải Ngoại, Nhạc Trữ Tình Hải Ngoại, nghe ngủ ngon, nghe 15 phút ngủ rất ngon, xoa dịu giấc ngủ, Vua Bolero, nhạc vàng xưa không quảng cáo",25,https://i.ytimg.com/vi/LBboiCv3Rlg/hqdefault.jpg,vi,vi,False,8867,PT2H27M47S,hd,False,True,False,False,471180,1632,34
6SJk-V27Amk,VN,2026-04-29T04:10:34.814530+00:00,2026-04-26T11:00:07Z,Hiha Dream Đến Làng Hiha Aut Trong Minecraft 🤩😍,Hiha Dream Đến Làng Hiha Aut Trong Minecraft 🤩😍,Oops Hiha,UCtT5uP2WIGxyP0MYCC_ZHtQ,20,Gaming,"oops hiha, oops club, hiha, hihachobi, hahichobi, hiha minecraft, hiha và yummie, sinh tố team, mcpe, minecraft, hiha yummie, hiha sinh tố team, hiha sinh tố, hiha yummie minecraft, hiha aut, làng hiha aut, hiha hiha aut, hiha aut hiha, h1h4, hiha alpha, hiha dream minecraft, hiha dream, hiha aut hiha dream, hiha dream đến làng hiha aut, hiha dream trong minecraft, hiha aut minecraft, hiha dream hiha aut, hiha dream aut",28,https://i.ytimg.com/vi/6SJk-V27Amk/hqdefault.jpg,vi,vi,False,1210,PT20M10S,hd,False,True,False,False,798242,12749,798
Wxl0SVqvfqE,VN,2026-04-29T04:10:34.814538+00:00,2026-04-23T12:00:06Z,NGƯỜI VIỆT MÌNH THƯƠNG NHAU - Cẩm Ly x Hòa Minzy x Châu Đăng Khoa / Official MV / Gala Nhạc Việt,NGƯỜI VIỆT MÌNH THƯƠNG NHAU - Cẩm Ly x Hòa Minzy x Châu Đăng Khoa / Official MV / Gala Nhạc Việt,Gala Nhạc Việt,UC8MC0KhiRcvBsMkcjmDf4mg,10,Music,"gala nhac viet, gala nhạc việt, top, trending, top trending, thịnh hành, gnv, người việt mình thương nhau, nguoi viet minh thuong nhau, cẩm ly, cam ly, hòa minzy, hoa minzy, thu âm, châu đăng khoa, nhạc việt nam, nhạc 30/4, mv người việt mình thương nhau, mv nguoi viet minh thuong nhau, cẩm ly hòa minzy, cam ly hoa minzy, cẩm ly hòa minzy nhạc 30/4, cam ly hoa minzy nhac 30/4",23,https://i.ytimg.com/vi/Wxl0SVqvfqE/hqdefault.jpg,vi,vro,False,225,PT3M45S,hd,True,True,False,False,1171000,18951,2644
r6ZUxHu9Gww,VN,2026-04-29T04:10:34.814546+00:00,2026-04-26T04:30:35Z,Thử Thách Nhịn Ghen Cùng Quang Con Sẽ Thắng 1 Triệu Và Cái Kết Không Ngờ Tới ,Thử Thách Nhịn Ghen Cùng Quang Con Sẽ Thắng 1 Triệu Và Cái Kết Không Ngờ Tới ,Khánh Linh FF,UCWcjISB2hngdUg0sFpI0f0w,22,People & Blogs,,0,https://i.ytimg.com/vi/r6ZUxHu9Gww/hqdefault.jpg,vi,vi,False,764,PT12M44S,hd,False,True,False,False,832778,8807,416
